Search keyword report
"June 1, 2026 - June 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Final URL,Impr.,Interactions,CTR,Currency code,Avg. cost,Cost,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Landing page exp.,Exp. CTR,Conv. rate,Conversions,Cost / conv.
Enabled,"""irrigation system repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,scottsdale sprinkler repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,0,0, --,USD,0,0.00, --, --, --, --,Average,Below average,0.00%,0.00,0.00
Enabled,sprinkler repair near me,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%,Average,Below average,0.00%,0.00,0.00
Enabled,irrigation repair near me,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,0,0, --,USD,0,0.00, --, --, --, --,Average,Below average,0.00%,0.00,0.00
Enabled,"""irrigation repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,9,1,11.11%,USD,5.31,5.31,38.46%,30.77%,23.08%,38.46%,Average,Below average,100.00%,1.00,5.31
Paused,"""irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,4,,6,0,0.00%,USD,0,0.00,29.41%,11.76%,< 10%,70.59%,Average,Below average,0.00%,0.00,0.00
Enabled,"""lawn sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,9,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,50.00%, --, --,0.00%,0.00,0.00
Enabled,"""drip irrigation system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
