"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://preview.indianapolis.com.br/","1323","334","3.961","16.285","Very Hard","","","","","","","","","","pt-BR","bafece184af8b32d13460f6f8e30e0e8","Indexable",""
"https://preview.indianapolis.com.br/ferro-fundido-cinzento/","3945","628","6.282","19.850","Very Hard","","","","","","","","","","pt-BR","2f8d4212c99ebe930d7daf23c8c06eba","Indexable",""
"https://preview.indianapolis.com.br/contato/","486","132","3.682","15.446","Very Hard","","","","","","","","","","pt-BR","19ca76bef2149b88fb72b1cd5621f3f2","Indexable",""
"https://preview.indianapolis.com.br/produtos/","558","125","4.464","0.000","Very Hard","","","","","","","","","","pt-BR","69415f4f3b35b7de9d2cf328c13b6216","Indexable",""
"https://preview.indianapolis.com.br/preco-do-ferro-fundido-kg/","2719","450","6.042","22.790","Very Hard","","","","","","","","","","pt-BR","27da42d7afc4366724f6bb6e34a1f550","Indexable",""
"https://preview.indianapolis.com.br/blog/","1135","255","4.451","15.005","Very Hard","","","","","","","","","","pt-BR","f9e156a93c7f46f3d418bea310065af","Indexable",""
"https://preview.indianapolis.com.br/fabrica-de-roldanas/","3091","512","6.037","20.231","Very Hard","","","","","","","","","","pt-BR","a4d820230fc389353d1f5f852af4a903","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/automotivo/","355","67","5.299","10.333","Very Hard","","","","","","","","","","pt-BR","e2c7055b2ba7dfd7e3ccd9b4bc55cf64","Indexable",""
"https://preview.indianapolis.com.br/produto/camisa-compressor-ar/","822","130","6.323","12.589","Very Hard","","","","","","","","","","pt-BR","a778263c37d8dcff8d3ca085ee5724d1","Indexable",""
"https://preview.indianapolis.com.br/produto/anel-bipartido/","826","131","6.305","12.082","Very Hard","","","","","","","","","","pt-BR","f951ce4ba343a7cbd8944ec51550401c","Indexable",""
"https://preview.indianapolis.com.br/empresa/","838","192","4.365","7.966","Very Hard","","","","","","","","","","pt-BR","cb1e7eba10259dc4c225a2e4ff014acc","Indexable",""
"https://preview.indianapolis.com.br/produto/fundicao-pecas-agricolas/","805","131","6.145","17.946","Very Hard","","","","","","","","","","pt-BR","3ece205c056aef82f764243d7fb4377c","Indexable",""
"https://preview.indianapolis.com.br/produto/moldes-industria-vidreira/","837","130","6.438","15.433","Very Hard","","","","","","","","","","pt-BR","521b971ed56ea034a6e927eb0b76f092","Indexable",""
"https://preview.indianapolis.com.br/solucoes/","965","231","4.177","3.851","Very Hard","","","","","","","","","","pt-BR","cff2afd3e8cce888beda15a8deab9ed5","Indexable",""
"https://preview.indianapolis.com.br/produto/cabecote-de-compressor-de-ar/","831","130","6.392","20.966","Very Hard","","","","","","","","","","pt-BR","a326d0259609509ef121a2fbff9e1be7","Indexable",""
"https://preview.indianapolis.com.br/produto/porca-do-cardan/","814","126","6.460","14.968","Very Hard","","","","","","","","","","pt-BR","2034856f32dc7da4e98302eabac2046c","Indexable",""
"https://preview.indianapolis.com.br/produto/fundicao-ferro-fundido/","861","131","6.573","13.572","Very Hard","","","","","","","","","","pt-BR","6c2eb00e726d8a8ae1f0bcddd169541b","Indexable",""
"https://preview.indianapolis.com.br/categoria-produto/aneis-de-segmento/","324","59","5.492","0.728","Very Hard","","","","","","","","","","pt-BR","fadade5531685d60f3346536bf02b289","Indexable",""
