"AdGroup report (May 25, 2026 - June 23, 2026)"
Request Id: 28a3d8d6-3f12-c35d-dc74-ed698bdf4a87

Status,Ad group,Campaign,Search Bid,Cpv Bid,Cpm Bid,Percent Cpc Bid,Commission Rate,Ad group Type,Delivery,Bid Strategy Name,Display Bid Strategy Type,Labels,Qual. score,Medium,Ad group ID,Start Date,End Date,Language,Tracking Template,Custom Parameter,Final Url Suffix,Conv.,View through conv.,Top impr. rate,Abs. top impr. rate
Enabled,Ad Group 4 - Restaurant Cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,6,,,,,Standard,Eligible,,EnhancedCpc,,6,Search,[1224857400672784],5/5/2026,,,,,,0,0,1.99%,1.63%
Enabled,Hotel Staffing & Boutiques,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1236951935698411],3/4/2026,,,,,,0,0,0%,0%
Enabled,Restaurants | Night Cleaning,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1227056330271538],3/4/2026,,,,,,0,0,0%,0%
Enabled,Ad Group 5 - Hotel Cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,6,,,,,Standard,Eligible,,EnhancedCpc,,6,Search,[1227056424103394],5/5/2026,,,,,,0,0,1.28%,1.08%
Enabled,Ad Group 1 - Commercial Cleaning Services (Core),[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,6,,,,,Standard,Eligible,,EnhancedCpc,,5,Search,[1229255447817876],5/5/2026,,,,,,0,0,2.18%,1.87%
Enabled,Post-Construction Cleaning,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1233653399727000],3/4/2026,,,,,,0,0,0%,0%
Enabled,Ad Group 2 - Office Cleaning Services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,6,,,,,Standard,Eligible,,EnhancedCpc,,5,Search,[1234753005526169],5/5/2026,,,,,,0,0,0.21%,0.16%
Search total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,66.05%,55.94%
Audience total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0%,0%
Deleted items total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-
Overall total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1.23%,1.04%
