"AudienceAssociation report (May 25, 2026 - June 23, 2026)"
Request Id: d43e54a2-cde7-ffe1-e7b0-5f487773600e

Association Status,Audience,Campaign,Ad group,Level,Category,Delivery,Bid multipliers,Targeting setting,Clicks,Impr.,Conv.,Abs. top impr. rate,Top impr. rate
Active,Customer_Match_Upload_FM_Hotel,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Ad group,CustomerList,Eligible,15,BidOnly,0,0,0,-,-
Active,Customer_Match_Upload_FM_Hotel,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,CustomerList,Eligible,15,BidOnly,0,0,0,-,-
Active,Corporate - FM,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,CustomerList,Eligible,15,BidOnly,0,0,0,-,-
Active,/Job Title/Operations Specialist,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,InMarket,Eligible,15,BidOnly,0,32,0,0%,0%
Active,/Job Title/Facilities Manager,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,InMarket,Eligible,15,BidOnly,0,1,0,0%,0%
Search total,-,-,-,-,-,-,-,-,0,1,0,0%,0%
Audience total,-,-,-,-,-,-,-,-,0,32,0,0%,0%
Deleted items total,-,-,-,-,-,-,-,-,-,-,-,-,-
Predictive targeting total,-,-,-,-,-,-,-,-,0,0,0,0%,0%
Overall total,-,-,-,-,-,-,-,-,0,33,0,-,-
