"Targeted location report (May 25, 2026 - June 23, 2026)"
Request Id: 954c8c83-4eac-ad48-295a-cb99102d17c6

Location,Campaign,Bid Adjustment,Clicks,Impr.,CTR,Avg. CPC,Top impr. rate,Abs. top impr. rate,Spend
"07030, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07042, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07083, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07094, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07102, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07201, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07202, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07206, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07302, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10012, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10013, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10036, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"Jersey City, New Jersey, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,8,2381,0.34%,2.35,1.91%,1.62%,18.82
"New York, New York, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,232,40953,0.57%,1.97,2.1%,1.78%,457.8
"Newark, New Jersey, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,146,35781,0.41%,1.26,0.21%,0.18%,183.67
Total - other locations,-,-,0,0,0%,0,0%,0%,0
Total,-,-,386,79115,0.49%,1.71,1.23%,1.04%,660.29
