"CampaignCriterion report (May 25, 2026 - June 23, 2026)"
Request Id: eabd2ada-7ce6-c010-1ce3-a6339a83892e

Status,Age,Delivery,Campaign,Bid Adjustment,Top impr. rate,Abs. top impr. rate
Active,18-24,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,18-24,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,1.11%,1.01%
Active,25-34,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,25-34,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,5%,1.1%,0.92%
Active,35-49,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,35-49,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,10%,1.14%,0.92%
Active,50-64,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,50-64,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,10%,2.01%,1.6%
Active,65+,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,65+,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,1.03%,0.81%
Active,Unknown,Eligible,[V4] [BING] [AQ] Premium-Q1-2026,0%,0%,0%
Active,Unknown,Eligible,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,1.15%,1.01%
Filtered total,-,-,-,-,1.23%,1.04%
Other Total,-,-,-,-,0%,0%
Total,-,-,-,-,1.23%,1.04%
