"ChangeHistoryDetailReport report (May 25, 2026 - June 23, 2026)"
Request Id: 01fbaa1d-69f7-0369-1e07-8b14e8ded36f

Data,Alterado por,Ferramenta,Campanha,Grupo de anúncios,Tipo de entidade,Nome da Entidade,Atributo alterado,Como mudou,Valor antigo,Novo valor
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,AdGroup,Ad Group 4 - Restaurant Cleaning,BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,AdGroup,Hotel Staffing & Boutiques,BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] Premium-Q1-2026,Post-Construction Cleaning,AdGroup,Post-Construction Cleaning,BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,AdGroup,Ad Group 2 - Office Cleaning Services,BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),AdGroup,Ad Group 1 - Commercial Cleaning Services (Core),BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,AdGroup,Ad Group 5 - Hotel Cleaning,BaseDomain,Added,,premiumcleaningnj.com
6/23/2026,System(Internal User),Other,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,AdGroup,Restaurants | Night Cleaning,BaseDomain,Added,,premiumcleaningnj.com
6/4/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,ImageExtension,commercial kitchen cleaning,Association,Added,,Ad Group 4 - Restaurant Cleaning
6/4/2026,marcosluciano.rodrigues@v4company.com,Recommendations,,,ImageExtension,office cleaning services,,Added,,Dedicated Account Manager
6/4/2026,marcosluciano.rodrigues@v4company.com,Recommendations,,,ImageExtension,commercial kitchen cleaning,,Added,,Restaurant Cleaning NJ & NY
