"Keyword report (May 25, 2026 - June 23, 2026)"
Request Id: 38b3bccd-eca3-c80b-da9f-255ef465e40a

Status,Keyword,Campaign,Ad group,Match type,Bid Strategy Name,Bid Strategy Type,Delivery,Bid,Labels,Clicks,Impr.,CTR,Avg. CPC,Spend,Top impr. rate,Abs. top impr. rate
Enabled,restaurant cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,160,0%,0,0,1.26%,1.26%
Enabled,commercial kitchen cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,4,442,0.9%,1.43,5.73,2.27%,1.36%
Enabled,commercial kitchen cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,3,455,0.66%,1.07,3.2,0.22%,0.22%
Enabled,restaurant cleaning NJ,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,46,0%,0,0,0%,0%
Enabled,restaurant cleaning NYC,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,53,0%,0,0,0%,0%
Enabled,night cleaning restaurant,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,2,432,0.46%,2.31,4.62,0.23%,0.23%
Enabled,services cleaning restaurant,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,88,1.14%,0.99,0.99,2.33%,2.33%
Enabled,restaurant services cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,18,5.56%,3.03,3.03,12.5%,12.5%
Enabled,commercial restaurant cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,282,0.35%,1.18,1.18,2.53%,1.81%
Enabled,services restaurant cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,0,26,0%,0,0,0%,0%
Enabled,restaurant kitchen cleaning services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,1,64,1.56%,1.38,1.38,0%,0%
Enabled,cleaning in restaurant,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,3,366,0.82%,1.99,5.98,1.93%,1.38%
Enabled,cleaning commercial kitchen,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Phrase,,InheritFromParent,Eligible,auto,,5,103,4.85%,0.68,3.41,18.56%,17.53%
Enabled,hotel housekeeping outsourcing,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Exact,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,hotel cleaning staffing nj,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,hospitality staffing connecticut,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Exact,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,boutique hotel cleaning nyc,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,hotel housekeeping companies,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,housekeeping hotel industry,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,housekeeping hotel services,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,housekeeping hospitality,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,cleaning hotel jobs,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Phrase,,InheritFromParent,Eligible,0.055,,0,0,0%,0,0,0%,0%
Enabled,restaurant cleaning service nyc,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Exact,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
Enabled,night commercial cleaning,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Phrase,,InheritFromParent,Eligible,0.05,,0,0,0%,0,0,0%,0%
