"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.lupo.com.br/","9","3","3.000","100.000","Very Easy","","","","","","","","","","pt-BR","5523cec1fc6224ad679af832ae33a0ac","Indexable",""
"https://www.lupo.com.br/kits","527","78","6.756","68.663","Normal","","","","","","","","","","pt-BR","23e985fa4178fd4aaf20bc413b8753f8","Indexable",""
"https://www.lupo.com.br/novidades","176","35","5.029","100.000","Very Easy","","","","","","","","","","pt-BR","61f017b8563247b92d63cf7b0015a368","Indexable",""
"https://www.lupo.com.br/feminino","886","142","6.239","54.027","Fairly Hard","","","","","","","","","","pt-BR","8d1c1b5b8a80a2d2437026930d9d5d0e","Indexable",""
"https://www.lupo.com.br/masculino","954","138","6.913","54.118","Fairly Hard","","","","","","","","","","pt-BR","8645f74e3a4f54049b1a4d06462fe915","Indexable",""
"https://www.lupo.com.br/outlet","686","120","5.717","68.830","Normal","","","","","","","","","","pt-BR","4dac9c6cd9550d0900dd8ca4cf9cd386","Indexable",""
"https://www.lupo.com.br/meninos","770","116","6.638","60.782","Normal","","","","","","","","","","pt-BR","16b16056b64b176a2534466292a75085","Indexable",""
"https://www.lupo.com.br/pijamas","191","43","4.442","97.352","Very Easy","","","","","","","","","","pt-BR","6379b00f522d99dc8e0f2c20eadccab2","Indexable",""
"https://www.lupo.com.br/account","0","","","","","","","","","","","","","","pt-BR","b793d89ed52b4397782a64b7c351c189","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","154","28","5.500","35.898","Hard","","","","","","","","","","pt-BR","873316a521d73e682e72b1f7cb931180","Indexable",""
"https://www.lupo.com.br/meninas","791","121","6.537","55.599","Fairly Hard","","","","","","","","","","pt-BR","34bc7d808d9756a8bddf09fe8351b4a3","Indexable",""
"https://www.lupo.com.br/pijamas?map=productclusternames","191","43","4.442","97.352","Very Easy","","","","","","","","","","pt-BR","e0ce3b831d4a9f513e77f1713eb4b6ac","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","115","24","4.792","46.013","Hard","","","","","","","","","","pt-BR","ef1488df63bcb0caacb936bb49f965e8","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-curto-coffee-24687-001/p","48","14","3.429","76.455","Fairly Easy","","","","","","","","","","pt-BR","73abca07b58b89a0d5c842a0ccb29163","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-invisivel-k2-02170-088/p","102","19","5.368","57.898","Fairly Hard","","","","","","","","","","pt-BR","8c5dadcc645ee3a0e95c16ea0dd6d1ee","Indexable",""
"https://www.lupo.com.br/meninas/","791","121","6.537","55.599","Fairly Hard","","","","","","","","","","pt-BR","34bc7d808d9756a8bddf09fe8351b4a3","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-abotoado-22623-001/p","50","14","3.571","54.314","Fairly Hard","","","","","","","","","","pt-BR","b50dc09278db2e01158239431d7c5777","Indexable",""
"https://www.lupo.com.br/pijama-lupo-kf-longo-jogger-22620-001/p","50","14","3.571","61.082","Normal","","","","","","","","","","pt-BR","9c790d3f2ee425fea7bf4b259e283c20","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-anti-02286-002/p","74","17","4.353","37.790","Hard","","","","","","","","","","pt-BR","34f4a662bec98436c77df45465ef3598","Indexable",""
"https://www.lupo.com.br/meia-disney-kids-unissex-divertida-mente--02403-001/p","94","19","4.947","48.813","Hard","","","","","","","","","","pt-BR","4a4e864f6de377deedc742b0a955d869","Indexable",""
"https://www.lupo.com.br/meninas/pijamas","868","123","7.057","56.203","Fairly Hard","","","","","","","","","","pt-BR","8c440e4d1d1dcd1a652096a262ce8d61","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-leve-meia-estacao-24646-001/p","113","25","4.520","52.513","Fairly Hard","","","","","","","","","","pt-BR","3ff273725033909baf2d6b406544f584","Indexable",""
"https://www.lupo.com.br/meninas/calcinhas","795","104","7.644","51.798","Fairly Hard","","","","","","","","","","pt-BR","75cd94fe4aa76649f341224db484cb7d","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-milk-20687-001/p","170","30","5.667","36.860","Hard","","","","","","","","","","pt-BR","e1e6ab4a8b361fe2a07327f485a0475e","Indexable",""
"https://www.lupo.com.br/meninas/meias","745","126","5.913","51.279","Fairly Hard","","","","","","","","","","pt-BR","558dfd84ec75a5c790c20fc7e1c043c0","Indexable",""
