"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://www.lupo.com.br/","0","","0","Indexable",""
"https://www.lupo.com.br/kits","1","KITS","4","Indexable",""
"https://www.lupo.com.br/novidades","0","","0","Indexable",""
"https://www.lupo.com.br/feminino","1","FEMININO","8","Indexable",""
"https://www.lupo.com.br/masculino","1","MASCULINO","9","Indexable",""
"https://www.lupo.com.br/outlet","1","outlet","6","Indexable",""
"https://www.lupo.com.br/meninos","1","MENINOS","7","Indexable",""
"https://www.lupo.com.br/pijamas","0","","0","Indexable",""
"https://www.lupo.com.br/account","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","1","Pijama Longo Americano Adulto Feminino Lupo","43","Indexable",""
"https://www.lupo.com.br/meninas","1","MENINAS","7","Indexable",""
"https://www.lupo.com.br/pijamas?map=productclusternames","0","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","1","Pijama Curto Algodão Infantil Feminino Lupo","43","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-curto-coffee-24687-001/p","1","Pijama Lupo AF Curto Coffee","27","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-invisivel-k2-02170-088/p","1","Kit 2 Meias Cano Invisível Esportiva Infantil Unissex Lupo","58","Indexable",""
"https://www.lupo.com.br/meninas/","1","MENINAS","7","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-abotoado-22623-001/p","1","Pijama Longo Abotoado Infantil Feminino Lupo","44","Indexable",""
"https://www.lupo.com.br/pijama-lupo-kf-longo-jogger-22620-001/p","1","Pijama Longo Jogger Infantil Feminino Lupo","42","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-anti-02286-002/p","1","Meia Sapatilha Antiderrapante Infantil Feminina Lupo","52","Indexable",""
"https://www.lupo.com.br/meia-disney-kids-unissex-divertida-mente--02403-001/p","1","Meia Disney Kids Unissex Divertida Mente","40","Indexable",""
"https://www.lupo.com.br/meninas/pijamas","1","PIJAMAS PARA MENINAS","20","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-leve-meia-estacao-24646-001/p","1","Pijama Longo Leve Feminino Lupo","31","Indexable",""
"https://www.lupo.com.br/meninas/calcinhas","1","CALCINHAS PARA MENINAS","22","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-milk-20687-001/p","1","Pijama Curto Milk Infantil Masculino Lupo","41","Indexable",""
"https://www.lupo.com.br/meninas/meias","1","MEIAS PARA MENINAS","18","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-shdoll-24243-003/p","1","Pijama Curto Linhas Feminino Lupo","33","Indexable",""
"https://www.lupo.com.br/pijama-lupo-am-longo-familia-cinema-28686-001/p","1","Pijama Longo Cinema Masculino Lupo","34","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-longo-canelado-24607-001/p","1","Pijama Longo Canelado Feminino Lupo","35","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-kit2-00141-088/p","1","Kit 2 Cuecas Boxer Algodão Infantil Masculina Lupo","50","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit2-02727-088/p","1","Kit 2 Meias Cano Médio Esportiva Infantil Masculina Lupo","56","Indexable",""
"https://www.lupo.com.br/meninos/meias","1","MEIAS PARA MENINOS","18","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00132-002/p","1","Cueca Boxer Sem Costura Infantil Masculina Lupo","47","Indexable",""
"https://www.lupo.com.br/beachwear","1","BEACHWEAR","9","Indexable",""
"https://www.lupo.com.br/boxer-lupo-kids-algodo-c-elastano-00151-011/p","1","Boxer Lupo Kids Algodão c/ Elastano","35","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit3-02725-089/p","1","Kit 3 Meias Cano Curto Esportiva Infantil Feminina Lupo","55","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00136-001/p","1","Boxer Lupo Kids Microfibra Sem Costura","38","Indexable",""
"https://www.lupo.com.br/meninos/pijama","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p","1","Boxer Lupo Kids Sem Costura","27","Indexable",""
"https://www.lupo.com.br/meia-lupo-af-kit3-04536-089/p","1","Kit 3 Meias Cano Curto Algodão Feminina Lupo","44","Indexable",""
"https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit3-18101-089/p","1","Kit 3 Calcinhas Algodão Infantil Feminina Lupo","46","Indexable",""
"https://www.lupo.com.br/meninos/cuecas","1","CUECAS PARA MENINOS","19","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","1","Kit 3 Meias Cano Invisível Básica Unissex Lupo","46","Indexable",""
"https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","1","Kit 3 Meias Cano Longo Masculina Lupo","37","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-kit2-00784-088/p","1","Kit 2 Cuecas Boxer Algodão Masculina Lupo","41","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-walk-kit3-03225-089/p","1","Kit 3 Meias Cano Curto Algodão Unissex Lupo","43","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-slip-kit3-00515-089/p","1","Kit 3 Cuecas Slip Adulto Algodão","32","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-kit2-02835-088/p","1","Kit 2 Meias Cano Curto Algodão Infantil Unissex Lupo","52","Indexable",""
"https://www.lupo.com.br/kits?map=productclusternames","1","KITS","4","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/meia-disney-ku-mickey-02300-292/p","1","Meia Disney KU MICKEY","21","Indexable",""
"https://www.lupo.com.br/geral?map=productclusternames","0","","0","Indexable",""
"https://www.lupo.com.br/robe-modal-exclusivo-feminino-lupo/p","1","Robe Modal Exclusivo Feminino Lupo","34","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-felpa-cano-mdio-03701-002/p","1","Meia Cano Médio Felpa Infantil Unissex Lupo","43","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-02728-002/p","1","Meia Cano Médio Algodão Infantil Masculina Lupo","47","Indexable",""
"https://www.lupo.com.br/meia-disney-au-toy-story-16990-039/p","1","Meia Disney AU Toy Story","24","Indexable",""
