"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.lupo.com.br/","0","","0","","0","Indexable",""
"https://www.lupo.com.br/kits","1","Kits Lupo: conforto e durabilidade e versões para todos os estilos","66","","0","Indexable",""
"https://www.lupo.com.br/novidades","0","","0","","0","Indexable",""
"https://www.lupo.com.br/feminino","5","Roupa íntima & moda Feminina Lupo: escolha seus modelos favoritos","65","Como escolher as peças ideais para o seu closet","47","Indexable",""
"https://www.lupo.com.br/masculino","1","MEIAS masculinas: saiba como usá-las com cada tipo de calçado","61","","0","Indexable",""
"https://www.lupo.com.br/outlet","4","Outlet Lupo: qualidade, economia e tradição em um só lugar","58","Tipos de produtos no outlet Lupo","32","Indexable",""
"https://www.lupo.com.br/meninos","1","Moda infantil masculina: saiba como escolher as cuecas e meias certas para as crianças","86","","0","Indexable",""
"https://www.lupo.com.br/pijamas","0","","0","","0","Indexable",""
"https://www.lupo.com.br/account","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-americano-longo-24602-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas","1","Roupas para meninas: saiba como escolher as peças ideais da melhor maneira","74","","0","Indexable",""
"https://www.lupo.com.br/pijamas?map=productclusternames","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-shdoll-raglan-22683-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-curto-coffee-24687-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-invisivel-k2-02170-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/","1","Roupas para meninas: saiba como escolher as peças ideais da melhor maneira","74","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-kf-abotoado-22623-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-kf-longo-jogger-22620-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-sap-anti-02286-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-disney-kids-unissex-divertida-mente--02403-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/pijamas","1","Pijama infantil feminino: vista suas crianças com roupas de dormir super estilosas","82","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-leve-meia-estacao-24646-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/calcinhas","1","Calcinhas infantis: saiba como escolher a calcinha perfeita para a sua filha","76","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-milk-20687-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias","4","Meias infantis para meninas: conforto e estilo para o dia a dia","63","Como escolher meias infantis ideais","35","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-shdoll-24243-003/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-am-longo-familia-cinema-28686-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-longo-canelado-24607-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-kit2-00141-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit2-02727-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/meias","1","Descubra como escolher as melhores meias infantis para cuidar dos passos do seu filho.","86","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00132-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/beachwear","4","Beachwear Lupo: Sinta a liberdade do verão","42","Bom gosto e versatilidade: conheça nossa coleção de praia","57","Indexable",""
"https://www.lupo.com.br/boxer-lupo-kids-algodo-c-elastano-00151-011/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-kit3-02725-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-microf-00136-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/pijama","1","Moda infantil: escolha os melhores pijamas infantis masculinos para o seu filho","79","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00137-010/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-af-kit3-04536-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit3-18101-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/cuecas","1","Cuecas infantis: Saiba como escolher a roupa íntima perfeita para o seu filho","77","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-sport-kit3-03270-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-am-sport-kit3-03292-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-kit2-00784-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-au-walk-kit3-03225-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-slip-kit3-00515-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-kit2-02835-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/kits?map=productclusternames","1","Kits Lupo: conforto e durabilidade e versões para todos os estilos","66","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/meia-disney-ku-mickey-02300-292/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/geral?map=productclusternames","0","","0","","0","Indexable",""
"https://www.lupo.com.br/robe-modal-exclusivo-feminino-lupo/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-felpa-cano-mdio-03701-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-02728-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-disney-au-toy-story-16990-039/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-modal-exclusivo-masculino-lupo/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/calcinha-loba-basica-sem-costura/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-af-shdoll-modal-floral-24595-900/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-disney-km-cars-02230-130/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/calcinha-curve-sem-costura-40378-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/blusa-loba-af-basica-41600-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/calcinha-loba-af-biquini-basico-40400-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/feminino/pijamas","5","Pijamas Femininos Lupo: estilo e bem-estar para todas as horas","62","Tipos de pijamas femininos","26","Indexable",""
"https://www.lupo.com.br/produtos/roupas-femininas","1","Roupas Femininas Lupo: versatilidade e modernidade para o seu dia a dia!","72","","0","Indexable",""
"https://www.lupo.com.br/blusa-loba-af-warm-g-a-45264-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/suti-curve-sem-costura-41378-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos","1","Outlet da Lupo: Suas peças favoritas em promoção","48","","0","Indexable",""
"https://www.lupo.com.br/feminino/modeladores","2","Modeladores corporais: como escolher a versão perfeita para você","64","Principais dúvidas sobre modeladores Lupo","41","Indexable",""
"https://www.lupo.com.br/feminino/meias","4","Meias femininas: conforto e versatilidade para todos os momentos","64","Como escolher meias femininas ideais","36","Indexable",""
"https://www.lupo.com.br/feminino/sutia","2","Aprenda a escolher o melhor sutiã para o seu tipo de corpo","58","Principais dúvidas sobre os modelos de sutiã Lupo","49","Indexable",""
"https://www.lupo.com.br/feminino/calcinhas","1","Modelos de calcinha: saiba qual a peça ideal para o seu tipo de corpo","69","","0","Indexable",""
"https://www.lupo.com.br/calcinha-loba-af-f-dental-bas-40600-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/t-shirt-micromodal-unissex-sem-costura-75044-900/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/masculino/cuecas/samba-cancao","1","Samba-canção: explore as vantagens dessa peça de roupa íntima masculina","71","","0","Indexable",""
"https://www.lupo.com.br/boxer-algodo-com-elastano-00784-068/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/masculino/meias","4","Meias masculinas: conforto, estilo e funcionalidade para o dia a dia","68","Tipos de meias masculinas","25","Indexable",""
"https://www.lupo.com.br/boxer-algodo-com-elastano-00784-069/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/masculino/pijamas","1","Pijamas Masculinos: Saiba como escolhê-los para ter noites de sono mais prazerosas","82","","0","Indexable",""
"https://www.lupo.com.br/boxer-bambu-sem-costura-18471-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-microf-00671-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/roupas","1","Moda Masculina Lupo: inovação, qualidade e versatilidade para você!","67","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-am-boxer-00784-016/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-boxer-microf-00436-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-am-curto-modal-28662-900-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/masculino/meias/urban","1","Lingerie kit com 3","18","","0","Indexable",""
"https://www.lupo.com.br/blusa-decote-quadrado-sem-costura-45297-001-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/blusa-regata-ribana-feminina-lupo-45296-001-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-calca-disney-bf-lobinha-02527-009-outlet-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-disney-bu-star-wars-02083-001-outlet-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-kf-02680-302-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/suti-rib-sem-costura-41380-001-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-marvel-km-vingadores-02451-012-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/boxer-micromodal-com-elastano-18474-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/boxer-lupo-kids-sem-costura-00137-030/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-kids-algodo-com-elastano-00380-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/cuecas/slip","1","Cuecas infantis slip Lupo: a escolha certa para o seu filho","59","","0","Indexable",""
"https://www.lupo.com.br/cueca-lupo-km-boxer-00141-003/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/cueca-disney-slip-kit-com-3-unidades-00111-089/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/Adulto/Feminino?PS=12&map=c,specificationFilter_27,specificationFilter_30","1","Outlet da Lupo: Suas peças favoritas em promoção","48","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/meninos/cuecas/boxer","1","4 motivos para que o seu filho use a cueca boxer infantil","57","","0","Indexable",""
"https://www.lupo.com.br/slip-lupo-kids-algodo-00361-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-robots-20620-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-manga-longa-20632-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/meias/soquetes","1","Meia Soquete: encontre esses modelos de meia aqui na Lupo","57","","0","Indexable",""
"https://www.lupo.com.br/pijama-curto-km-dino-20614-001-outlet/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-curto-km-lupo-natal-cats-20673-900/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-longo-dinos-20646-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/feminino/calcinhas/tanga","1","Moda íntima Lupo: conheça a linha de calcinhas femininas modelo tanga","69","","0","Indexable",""
"https://www.lupo.com.br/pijama-lupo-km-curto-20631-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/pijamas/kids/curtos/masculino?initialMap=c,c,specificationFilter_30,specificationFilter_27&initialQuery=/produtos/pijamas/Masculino/Adulto&map=category-1,category-2,faixa-etaria,modelo,genero","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-curto-km-recortes-20608-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/pijamas/kids/longos/masculino?initialMap=c,c,specificationFilter_30,specificationFilter_27&initialQuery=/produtos/pijamas/Masculino/Adulto&map=category-1,category-2,faixa-etaria,modelo,genero","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.lupo.com.br/pijama-lupo-km-longo-moletinho-20647-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-km-recorte-28964-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-estampada-28965-007/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-boxer-recorte-28981-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/beachwear/shorts","1","Lingerie kit com 3","18","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-boxer-estampada-28968-007/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/short-magic-print-beachwear-lupo-kids-29008-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-boxer-lisa-28966-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/sunga-lupo-lisa-28963-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/beachwear","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-basica-kit2-02830-088/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninos/meias/urban","2","Meias coloridas e meias estilosas: a sua meia favorita está aqui na Lupo!","73","Meia Lupo Urban para meninos. Um novo olhar para o visual!","58","Indexable",""
"https://www.lupo.com.br/meninos/meias/soquete","1","Aprenda a comprar e usar a meia soquete masculina da maneira certa","66","","0","Indexable",""
"https://www.lupo.com.br/meninos/meias/esportivas","1","Meias esportivas masculinas kids: conforto e estilo para os pequenos atletas!","77","","0","Indexable",""
"https://www.lupo.com.br/produtos/cuecas","1","Cuecas masculinas: conheça as principais linhas de cueca da Lupo e saiba como usá-las no dia a dia","98","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-km-sport-02725-005/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/cuecas/boxer","1","Lingerie kit com 3","18","","0","Indexable",""
"https://www.lupo.com.br/meia-disney-kf-filme-moana-2-02256-001/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/produtos/pijamas/curtos","1","Lingerie kit com 3","18","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias/cano-invisivel","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-smurfs-kf-14050-002/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias/urban","2","Meias coloridas e meias estilosas: na Lupo você encontra uma meia para chamar de favorita!","90","Meia Lupo Urban para meninas. Arrase no visual!","47","Indexable",""
"https://www.lupo.com.br/meia-lupo-ku-02835-005/p","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias/com-solado","1","Meia Antiderrapante Infantil LUPO","33","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias/soquete","1","Moda Infantil Lupo: conheça a meia soquete feminina infantil","60","","0","Indexable",""
"https://www.lupo.com.br/meninas/meias/cano-medio","0","","0","","0","Indexable",""
"https://www.lupo.com.br/meia-lupo-kf-aplicativo-02685-012/p","0","","0","","0","Indexable",""
