"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/e49bb9b7-3b34-49db-a5c8-29760a2c7ff2___c98707ec34d3c0b6b372c92caad15b09.svg","image/svg+xml","0","165","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/769be4a3-7a1e-4aa6-b92e-d97127dfa847___61d5b9c0919cecb8d4cbcb54717dd163.svg","image/svg+xml","0","165","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex/assets-builder/lupoio.store-theme/5.0.108/svg/icon-wishlist-white___6795057f47992c186220c63fc8131241.svg","image/svg+xml","0","165","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex/assets-builder/lupoio.store-theme/5.0.108/svg/icon-search___d0e7dc421fc9bfc6708f66c7d8a239e5.svg","image/svg+xml","514","165","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/f7e5c0fc-8ded-4e28-beb1-bc14f052d3ba___c1517e242e4ad2a9b77a292e4ac25f6a.png","image/png","1724360","3","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/7aa5ccc8-04f2-4175-a61d-c2e7251e9887___a3b92a275d6c4d386f2fe37d1e939818.svg","image/svg+xml","0","165","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/353864/22683-001-1110-1.png?v=639059175023000000","image/png","311980","7","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/356002/28686-001-8000-1.png?v=639063525667670000","image/png","356708","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355441/24602-001-5426-1.png?v=639063524313430000","image/png","334440","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/354087/24243-003-2805-1.png?v=639059181382330000","image/png","317886","4","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355579/24607-001-6102-1.png?v=639063524652930000","image/png","377280","6","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/1c02ea82-6a2e-497b-9277-b5846367c688___58b6ae13695aba5c6b3540cd14531721.jpg","image/jpeg","335075","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/4c66278e-3ce6-4249-83d2-8246448f052d___65d0621ed603a61f471cec4ac75ccd60.jpg","image/jpeg","98305","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/d8c3a302-b0d8-46af-a1ef-f38c8d6d9760___cd302dd382c7179fdc7ac95707cd5b35.jpg","image/jpeg","216080","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355340/22623-001-1110-1.png?v=639063524063530000","image/png","388243","4","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/68f6645c-2dff-4857-a3ad-6fc7d8d9d31b___20d01120b779f6d287ecb9eae600d9de.jpg","image/jpeg","198720","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/345002/02170-088-0902-1.png?v=638950275937530000","image/png","371104","7","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/336715/02403-001-9990-1.png?v=638950275303500000","image/png","431800","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355258/20687-001-1110-1.png?v=639063523850400000","image/png","299657","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/354141/24646-001-5965-1.png?v=639059181509000000","image/png","337281","4","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/355826/24687-001-1110-1.png?v=639063525244670000","image/png","321328","4","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/f2c03928-3f6f-4f01-8163-1e99478195e6___561babca72dd9b0436fbbfa1976c7abb.jpg","image/jpeg","1118241","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/321274/00141-088-0980-1.png?v=638950274155670000","image/png","259443","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/321179/00136-001-1110-1.png?v=638950274120100000","image/png","278395","3","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/ac8ad474-2883-401e-bf82-e4dbc5aa1d15___730d2838ea26d0ed211d6ff2488ac31f.jpg","image/jpeg","368438","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/338619/02725-089-0925-1.png?v=638950275439330000","image/png","275156","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/321929/00137-010-2560-1.png?v=638950274227470000","image/png","434943","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/343370/00151-011-2805-1.png?v=638950275806700000","image/png","297817","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/345059/02727-088-0901-1.png?v=638950275942830000","image/png","450726","4","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/e65795e5-e14c-423e-87eb-553b6ade2515___682b9741723101f25082d7411d5e8b6a.jpg","image/jpeg","764434","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/87c395ff-ef7a-4c6d-878b-207f2f02c62d___7a37cd9b4bd26626bbb7db4cf99e7184.jpg","image/jpeg","430847","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/344101/02835-088-0900-1.png?v=638950275866570000","image/png","331838","10","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/310760/00515-089-0901-1.png?v=638943329530900000","image/png","386497","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex/assets-builder/lupoio.store-theme/5.0.108/svg/icon-grid-alternative-desktop___7a723e162c3dc472fb53aecefdb1bac8.svg","image/svg+xml","806","68","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/332261/18101-089-0905-1.png?v=638950274986900000","image/png","95192","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/360981/00784-088-0904-1.png?v=639084059742900000","image/png","317075","3","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex/assets-builder/lupoio.store-theme/5.0.108/svg/icon-grid-initial-desktop___77d849656231e18b422eca831728e489.svg","image/svg+xml","660","68","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/323586/03225-089-0901-1.png?v=638950274352430000","image/png","278626","3","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/324498/03270-089-0906-1.png?v=638950274421370000","image/png","254098","4","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/331776/04536-089-0901-1.png?v=638950274952500000","image/png","253755","2","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/332758/03292-089-0902-1.png?v=638950275021500000","image/png","370143","5","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364409/02300-292-2140-1.png?v=639125649853600000","image/png","323104","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364487/16990-039-3220-1.png?v=639125650736070000","image/png","426475","7","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/363976/02728-002-2800-1.png?v=639113560490170000","image/png","236522","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364611/masc.jpg?v=639130022660130000","image/jpeg","57592","7","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/363877/03701-002-1120-1.png?v=639113559550500000","image/png","245455","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364615/robe.jpg?v=639130024053230000","image/jpeg","77268","6","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364607/ChatGPT-Image-27-de-abr.-de-2026-11_25_10.png?v=639128972427600000","image/png","809014","7","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/364601/02230-130-1120-1.png?v=639125652346970000","image/png","421033","6","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/294aa8be-6bc4-4ee5-8af1-53ed2decad4e___8e860fde541907841467cca06a30531d.jpg","image/jpeg","147337","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/359181/40300-001-2900-1.png?v=639075531213230000","image/png","341904","2","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/bd8cc9ca-03ee-4b3e-9aea-5a53dc9a6b66___bccc32967dae05714939c5c95ced0b72.jpg","image/jpeg","169097","1","Indexable","",""
"https://lupoio.vtexassets.com/assets/vtex.file-manager-graphql/images/1a99888f-d15c-4118-9ee4-35fe3a442f99___94ffeaa4c5c4c72259f1762deda922dd.jpg","image/jpeg","147600","1","Indexable","",""
"https://lupoio.vtexassets.com/arquivos/ids/341494/40378-001-6006-1.png?v=638950275663000000","image/png","386046","2","Indexable","",""
