"Path 1","Path 2","Path 3","URLs","Indexable","Non-Indexable"
"https/","","","174","157","17"
"","www.lupo.com.br/","","174","157","17"
"","","produtos/","23","16","7"
"","","meninas/","13","12","1"
"","","meninos/","13","9","4"
"","","feminino/","8","7","1"
"","","masculino/","5","4","1"
"","","kits","1","1","0"
"","","novidades","1","1","0"
"","","feminino","1","1","0"
"","","masculino","1","1","0"
"","","outlet","1","1","0"
"","","meninos","1","1","0"
"","","pijamas","1","1","0"
"","","account","1","1","0"
"","","pijama-lupo-af-americano-longo-24602-001/","1","1","0"
"","","meninas","1","1","0"
"","","pijamas?map=productclusternames","1","0","1"
"","","pijama-lupo-kf-shdoll-raglan-22683-001/","1","1","0"
"","","pijama-lupo-af-curto-coffee-24687-001/","1","1","0"
"","","meia-lupo-ku-sap-invisivel-k2-02170-088/","1","1","0"
"","","pijama-lupo-kf-abotoado-22623-001/","1","1","0"
"","","pijama-lupo-kf-longo-jogger-22620-001/","1","1","0"
"","","meia-lupo-ku-sap-anti-02286-002/","1","1","0"
"","","meia-disney-kids-unissex-divertida-mente--02403-001/","1","1","0"
"","","pijama-lupo-af-leve-meia-estacao-24646-001/","1","1","0"
"","","pijama-lupo-km-curto-milk-20687-001/","1","1","0"
"","","pijama-lupo-af-shdoll-24243-003/","1","1","0"
"","","pijama-lupo-am-longo-familia-cinema-28686-001/","1","1","0"
"","","pijama-lupo-af-longo-canelado-24607-001/","1","1","0"
"","","cueca-lupo-km-boxer-kit2-00141-088/","1","1","0"
"","","meia-lupo-km-sport-kit2-02727-088/","1","1","0"
"","","cueca-lupo-km-boxer-microf-00132-002/","1","1","0"
"","","beachwear","1","1","0"
"","","boxer-lupo-kids-algodo-c-elastano-00151-011/","1","1","0"
"","","meia-lupo-km-sport-kit3-02725-089/","1","1","0"
"","","cueca-lupo-km-boxer-microf-00136-001/","1","1","0"
"","","cueca-lupo-km-boxer-00137-010/","1","1","0"
"","","meia-lupo-af-kit3-04536-089/","1","1","0"
"","","calcinha-lobinha-kf-basica-kit3-18101-089/","1","1","0"
"","","meia-lupo-au-sport-kit3-03270-089/","1","1","0"
"","","meia-lupo-am-sport-kit3-03292-089/","1","1","0"
"","","cueca-lupo-am-boxer-kit2-00784-088/","1","1","0"
"","","meia-lupo-au-walk-kit3-03225-089/","1","1","0"
"","","cueca-lupo-am-slip-kit3-00515-089/","1","1","0"
"","","meia-lupo-ku-kit2-02835-088/","1","1","0"
"","","kits?map=productclusternames","1","0","1"
"","","meia-disney-ku-mickey-02300-292/","1","1","0"
"","","geral?map=productclusternames","1","1","0"
"","","robe-modal-exclusivo-feminino-lupo/","1","1","0"
"","","meia-lupo-ku-felpa-cano-mdio-03701-002/","1","1","0"
"","","meia-lupo-km-02728-002/","1","1","0"
"","","meia-disney-au-toy-story-16990-039/","1","1","0"
"","","pijama-modal-exclusivo-masculino-lupo/","1","1","0"
"","","calcinha-loba-basica-sem-costura/","1","1","0"
"","","pijama-lupo-af-shdoll-modal-floral-24595-900/","1","1","0"
"","","meia-disney-km-cars-02230-130/","1","1","0"
"","","calcinha-curve-sem-costura-40378-001/","1","1","0"
"","","blusa-loba-af-basica-41600-001/","1","1","0"
"","","calcinha-loba-af-biquini-basico-40400-001/","1","1","0"
"","","blusa-loba-af-warm-g-a-45264-001/","1","1","0"
"","","suti-curve-sem-costura-41378-001/","1","1","0"
"","","produtos","1","1","0"
"","","calcinha-loba-af-f-dental-bas-40600-001/","1","1","0"
"","","t-shirt-micromodal-unissex-sem-costura-75044-900/","1","1","0"
"","","boxer-algodo-com-elastano-00784-068/","1","1","0"
"","","boxer-algodo-com-elastano-00784-069/","1","1","0"
"","","boxer-bambu-sem-costura-18471-002/","1","1","0"
"","","cueca-lupo-am-boxer-microf-00671-002/","1","1","0"
"","","cueca-lupo-am-boxer-00784-016/","1","1","0"
"","","cueca-lupo-boxer-microf-00436-002/","1","1","0"
"","","pijama-lupo-am-curto-modal-28662-900-outlet/","1","1","0"
"","","blusa-decote-quadrado-sem-costura-45297-001-outlet/","1","1","0"
"","","blusa-regata-ribana-feminina-lupo-45296-001-outlet/","1","1","0"
"","","meia-calca-disney-bf-lobinha-02527-009-outlet-outlet/","1","1","0"
"","","meia-disney-bu-star-wars-02083-001-outlet-outlet/","1","1","0"
"","","meia-lupo-kf-02680-302-outlet/","1","1","0"
"","","suti-rib-sem-costura-41380-001-outlet/","1","1","0"
"","","meia-marvel-km-vingadores-02451-012-outlet/","1","1","0"
"","","boxer-micromodal-com-elastano-18474-001/","1","1","0"
"","","boxer-lupo-kids-sem-costura-00137-030/","1","1","0"
"","","sunga-lupo-kids-algodo-com-elastano-00380-001/","1","1","0"
"","","cueca-lupo-km-boxer-00141-003/","1","1","0"
"","","cueca-disney-slip-kit-com-3-unidades-00111-089/","1","1","0"
"","","slip-lupo-kids-algodo-00361-002/","1","1","0"
"","","pijama-lupo-km-curto-robots-20620-001/","1","1","0"
"","","pijama-lupo-km-manga-longa-20632-001/","1","1","0"
"","","pijama-curto-km-dino-20614-001-outlet/","1","1","0"
"","","pijama-curto-km-lupo-natal-cats-20673-900/","1","1","0"
"","","pijama-lupo-km-longo-dinos-20646-001/","1","1","0"
"","","pijama-lupo-km-curto-20631-001/","1","1","0"
"","","pijama-curto-km-recortes-20608-001/","1","1","0"
"","","pijama-lupo-km-longo-moletinho-20647-001/","1","1","0"
"","","sunga-lupo-km-recorte-28964-002/","1","1","0"
"","","sunga-lupo-estampada-28965-007/","1","1","0"
"","","sunga-lupo-boxer-recorte-28981-002/","1","1","0"
"","","sunga-lupo-boxer-estampada-28968-007/","1","1","0"
"","","short-magic-print-beachwear-lupo-kids-29008-001/","1","1","0"
"","","sunga-lupo-boxer-lisa-28966-001/","1","1","0"
"","","sunga-lupo-lisa-28963-001/","1","1","0"
"","","meia-lupo-km-basica-kit2-02830-088/","1","1","0"
"","","meia-lupo-km-sport-02725-005/","1","1","0"
"","","meia-disney-kf-filme-moana-2-02256-001/","1","1","0"
"","","meia-smurfs-kf-14050-002/","1","1","0"
"","","meia-lupo-ku-02835-005/","1","1","0"
"","","meia-lupo-kf-aplicativo-02685-012/","1","1","0"
"","","meia-lupo-ku-home-socks-02940-015/","1","1","0"
"","","busca/","1","0","1"
"","","calcinha-disney-kf-frozen-kit3-18202-089/","1","1","0"
"","","top-lobinha-kf-sc-18700-001/","1","1","0"
"","","calcinha-disney-kf-princesas-k3-18201-089/","1","1","0"
"","","calcinha-lobinha-kf-estampada-k3-18110-089/","1","1","0"
"","","calcinha-lobinha-kf-basica-kit3-18102-089/","1","1","0"
"","","pijama-lupo-kf-moletom-22622-001/","1","1","0"
"","","pijama-lupo-kf-shdoll-cachorrinho-22621-001/","1","1","0"
"","","pijama-lupo-kf-florido-22611-001/","1","1","0"
"","","pijama-curto-kf-lupo-dolce-vita-22674-900/","1","1","0"
"","","pijama-curto-kf-lupo-natal-cats-22673-900/","1","1","0"
