url_antiga (404),impressoes_imagem_3m,cliques,redirecionar_para_sugerido,confianca,alternativa
/empresa-fundicao,1036,2,/empresa,0.5 alta,/empresa-de-fundicao-de-ferro-fundido
/fundicao-pecas-ferro-fundido,586,4,/fundicao-de-pecas-em-ferro-fundido,0.67 alta,/produto/fundicao-ferro-fundido
/fundicao-ferro-fundido-nodular,538,6,/produto/fundicao-ferro-fundido,0.6 alta,/fundicao-ferro-fundido-cinzento
/anel-segmento-cilindro-hidraulico,516,4,/anel-de-segmento,0.4 media,/anel-de-segmento-preco
/anel-segmento-compressor-ar,472,5,/anel-de-segmento-para-compressor,0.5 alta,/anel-de-segmento
/polia-elevador,447,0,/produto/polia-de-elevador,0.5 alta,/produto/tirante-para-elevador
/empresa-fundicao-ferro-fundido,412,1,/empresa-de-fundicao-de-ferro-fundido,0.8 alta,/produto/fundicao-ferro-fundido
/cabecote-compressor-ar,350,5,/cabecote-compressor-de-ar,0.75 alta,/produto/cabecote-de-compressor-de-ar
/fabricante-aneis-segmento,341,2,/fabricante-aneis-de-segmento,0.75 alta,/produto/aneis-de-segmento
/aneis-pistao-compressor,310,2,/aneis-de-segmento-pistao,0.4 media,/aneis-de-segmento-do-pistao
/fundicao-cold-box,306,4,/fundicao-e-usinagem,0.2 revisar manual,/fundicao-de-ferros
/aneis-segmento,296,2,/produto/aneis-de-segmento,0.5 alta,/fornecedor-aneis-de-segmento
/blog/fundicao-de-ferro/ferro-fundido-cinzento,296,0,/fundicao-ferro-fundido-cinzento,0.67 alta,/fundicao-de-ferro-fundido
/fundicao-pecas-aco,280,2,/produto/fundicao-pecas-agricolas,0.4 media,/fundicao-de-auto-pecas
/empresa-fundicao-sp,239,4,/empresa-de-fundicao-de-ferro-fundido,0.33 media,/empresa
/tirante-elevador,198,0,/produto/tirante-para-elevador,0.5 alta,/produto/polia-de-elevador
/fundicao-ferro-fundido-sp,197,4,/produto/fundicao-ferro-fundido,0.6 alta,/fundicao-ferro-fundido-cinzento
/aneis-compressor-ar,138,0,/produto/camisa-compressor-ar,0.4 media,/cilindro-compressor-de-ar
/blog/aneis-de-segmento/aneis-de-segmento-pistao,137,0,/aneis-de-segmento-pistao,0.8 alta,/aneis-de-segmento-do-pistao
/abracadeira-concreto,119,0,/abracadeira-para-concreto,0.67 alta,/fabricante-abracadeiras-bombeamento-concreto
/qualidade,104,2,/solucoes,0.0 revisar manual,/shop
/blog/aneis-de-segmento/anel-de-segmento,75,1,/anel-de-segmento,0.6 alta,/produto/aneis-de-segmento
/blog/abracadeiras,67,1,/blog,0.5 alta,/produto/abracadeira-rapida
/servico-fundicao,61,0,/servico-de-fundicao-em-sao-paulo,0.33 media,/fundicao-e-usinagem
/blog/fundicao-de-ferro/fundicao-de-ferro-fundido-sp,59,1,/fundicao-de-ferro-fundido,0.67 alta,/fundicao-de-ferro-fundido-2
/blog/aneis-de-segmento/aneis-de-segmento-do-pistao,58,0,/aneis-de-segmento-do-pistao,0.83 alta,/aneis-de-segmento-pistao
/blog/aneis-de-segmento/anel-de-segmento-para-compressor,55,3,/anel-de-segmento-para-compressor,0.71 alta,/aneis-para-compressor-de-alta-pressao
/blog/aneis-de-segmento/aneis-de-segmento-de-ferro,53,0,/aneis-de-segmento-de-ferro,0.8 alta,/produto/aneis-de-segmento
/blog/fundicao-de-ferro/pecas-de-ferro-fundido,52,0,/fundicao-de-pecas-em-ferro-fundido,0.71 alta,/pecas-de-ferro-fundido
/fundicao-pecas-automotivas,49,1,/produto/fundicao-pecas-agricolas,0.4 media,/fundicao-de-auto-pecas
/porca-carcaca,48,1,/produto/porca-do-cardan,0.2 revisar manual,/solucoes
/porca-cardan,47,0,/produto/porca-do-cardan,0.5 alta,/solucoes
/blog/fundicao-de-ferro/fundicao-de-pecas-em-ferro-fundido,44,0,/fundicao-de-pecas-em-ferro-fundido,0.86 alta,/produto/fundicao-de-pecas-em-ferro-fundido
/blog/aneis-de-segmento/aneis-para-bombas-a-vacuo,42,0,/aneis-para-bombas-a-vacuo,0.62 alta,/aneis-de-segmento-para-amortecedores-em-bronze
/fundicao-ferro-sp,39,0,/fundicao-de-ferros,0.5 alta,/produto/fundicao-ferro-fundido
/fundicao-auto-pecas,37,2,/fundicao-de-auto-pecas,0.75 alta,/produto/fundicao-pecas-agricolas
/blog/fundicao-de-ferro/fundicao-ferro-fundido-cinzento,35,0,/fundicao-ferro-fundido-cinzento,0.67 alta,/fundicao-de-ferro-fundido
/blog/aneis-de-segmento/aneis-de-segmento-sob-medida,33,0,/aneis-de-segmento-sob-medida,0.83 alta,/produto/aneis-de-segmento
/blog/fundicao-de-ferro/fundicao-de-auto-pecas,32,1,/fundicao-de-auto-pecas,0.67 alta,/fundicao-de-pecas-em-ferro-fundido
/blog/fundicao-de-ferro/fabricacao-de-pecas-em-ferro-fundido,30,0,/fundicao-de-pecas-em-ferro-fundido,0.75 alta,/fabricacao-de-pecas-em-ferro-fundido
/blog/aneis-de-segmento/anel-de-segmento-do-motor,30,0,/anel-de-segmento-do-motor,0.71 alta,/aneis-de-segmento-do-pistao
