source,target,regex
^empresa-fundicao/?$,/empresa/,1
^fundicao-pecas-ferro-fundido/?$,/fundicao-de-pecas-em-ferro-fundido/,1
^fundicao-ferro-fundido-nodular/?$,/fundicao-de-ferro-cinzento-e-nodular/,1
^anel-segmento-cilindro-hidraulico/?$,/produto/aneis-de-segmento/,1
^anel-segmento-compressor-ar/?$,/anel-de-segmento-para-compressor/,1
^polia-elevador/?$,/produto/polia-de-elevador/,1
^empresa-fundicao-ferro-fundido/?$,/empresa-de-fundicao-de-ferro-fundido/,1
^cabecote-compressor-ar/?$,/cabecote-compressor-de-ar/,1
^fabricante-aneis-segmento/?$,/fabricante-aneis-de-segmento/,1
^aneis-pistao-compressor/?$,/aneis-de-segmento-pistao/,1
^fundicao-cold-box/?$,/fundicao-de-ferro-em-pep-set/,1
^aneis-segmento/?$,/produto/aneis-de-segmento/,1
^blog/fundicao-de-ferro/ferro-fundido-cinzento/?$,/fundicao-ferro-fundido-cinzento/,1
^fundicao-pecas-aco/?$,/produto/fundicao-de-pecas-em-ferro-fundido/,1
^empresa-fundicao-sp/?$,/empresa/,1
^tirante-elevador/?$,/produto/tirante-para-elevador/,1
^fundicao-ferro-fundido-sp/?$,/fundicao-de-ferro-fundido/,1
^aneis-compressor-ar/?$,/anel-de-segmento-para-compressor/,1
^blog/aneis-de-segmento/aneis-de-segmento-pistao/?$,/aneis-de-segmento-pistao/,1
^abracadeira-concreto/?$,/abracadeira-para-concreto/,1
^qualidade/?$,/empresa/,1
^blog/aneis-de-segmento/anel-de-segmento/?$,/anel-de-segmento/,1
^blog/abracadeiras/?$,/abracadeira-para-concreto/,1
^servico-fundicao/?$,/servico-de-fundicao-em-sao-paulo/,1
^blog/fundicao-de-ferro/fundicao-de-ferro-fundido-sp/?$,/fundicao-de-ferro-fundido/,1
^blog/aneis-de-segmento/aneis-de-segmento-do-pistao/?$,/aneis-de-segmento-do-pistao/,1
^blog/aneis-de-segmento/anel-de-segmento-para-compressor/?$,/anel-de-segmento-para-compressor/,1
^blog/aneis-de-segmento/aneis-de-segmento-de-ferro/?$,/aneis-de-segmento-de-ferro/,1
^blog/fundicao-de-ferro/pecas-de-ferro-fundido/?$,/fundicao-de-pecas-em-ferro-fundido/,1
^fundicao-pecas-automotivas/?$,/categoria-produto/automotivo/,1
^porca-carcaca/?$,/produto/porca-do-cardan/,1
^porca-cardan/?$,/produto/porca-do-cardan/,1
^blog/fundicao-de-ferro/fundicao-de-pecas-em-ferro-fundido/?$,/fundicao-de-pecas-em-ferro-fundido/,1
^blog/aneis-de-segmento/aneis-para-bombas-a-vacuo/?$,/aneis-para-bombas-a-vacuo/,1
^fundicao-ferro-sp/?$,/servico-de-fundicao-em-sao-paulo/,1
^fundicao-auto-pecas/?$,/fundicao-de-auto-pecas/,1
^blog/fundicao-de-ferro/fundicao-ferro-fundido-cinzento/?$,/fundicao-ferro-fundido-cinzento/,1
^blog/aneis-de-segmento/aneis-de-segmento-sob-medida/?$,/aneis-de-segmento-sob-medida/,1
^blog/fundicao-de-ferro/fundicao-de-auto-pecas/?$,/fundicao-de-auto-pecas/,1
^blog/fundicao-de-ferro/fabricacao-de-pecas-em-ferro-fundido/?$,/fundicao-de-pecas-em-ferro-fundido/,1
^blog/aneis-de-segmento/anel-de-segmento-do-motor/?$,/anel-de-segmento-do-motor/,1
^fundicao-pecas-compressores/?$,/produto/fundicao-pecas-agricolas/,1
^polia-ferro-fundido/?$,/produto/polia-de-elevador/,1
^blog/fundicao-de-ferro/fundicao-de-ferro-em-pep-set/?$,/fundicao-de-ferro-em-pep-set/,1
^fabrica-aneis-compressores/?$,/fabricante-aneis-de-segmento/,1
^blog/fundicao-de-ferro/fundicao-de-ferro-em-itaquaquecetuba-sp/?$,/fundicao-de-ferro-em-itaquaquecetuba/,1
^fundicao-ferro-cinzento-nodular/?$,/fundicao-de-ferro-cinzento-e-nodular/,1
^blog/aneis-de-segmento/anel-de-segmento-em-ferro-fundido/?$,/anel-de-segmento-em-ferro-fundido/,1
^blog/fundicao-de-ferro/fundicao-de-ferro-cinzento-e-nodular/?$,/fundicao-de-ferro-cinzento-e-nodular/,1
^blog/fundicao-de-ferro/fundicao-em-sao-paulo/?$,/servico-de-fundicao-em-sao-paulo/,1
^blog/mancais-e-cubo/cubos-e-mancais-para-maquinas/?$,/cubos-e-mancais-para-maquinas/,1
^fabrica-aneis-segmento/?$,/fabricante-aneis-de-segmento/,1
^blog/fundicao-de-ferro/fundicao-de-ferros/?$,/fundicao-de-ferros/,1
^blog/aneis-de-segmento/anel-de-segmento-preco/?$,/anel-de-segmento-preco/,1
^blog/cabecotes/camisa-compressor/?$,/camisa-compressor/,1
^blog/mancais-e-cubo/?$,/cubos-e-mancais-para-maquinas/,1
