Relatório de campanha
Todo o período
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conv. (comparável entre plataformas),Custo / conv. (comparável entre plataformas),Valor da conv. / custo (comparável entre plataformas),Impressões na Pesquisa,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (class.),Parc impr perd rede de pesquisa (orç),IS parte sup. pesq.,IS perdidas parte sup. pesq. (classif.),IS perdidas parte sup. pesq. (orçam.),IS 1ª posição pesq.,IS perdidas 1ª posição pesq. (classif.),IS perdidas 1ª posição pesq. (orçam.),Parc impr corresp exata Pesquisa,Parcela de cliques
Pausada,[V4] | Kitchen l Campeões,"100,00", --,Diário,USD,Pausado,campanha pausada,Pesquisa,"0,00",7,0,"0,00%",0,"0,00","0,00",0,0,"0,17", --,Maximizar as conversões,0,"0,00%","0,00",0,"0,00","16,67%","83,33%","0,00%","12,50%","87,50%","0,00%",< 10%,> 90%,"0,00%","16,67%", --
Ativada,[V4] Search | Leads | Services Exp1: CPA Desejado,"50,00", --,Diário,USD,Encerrado,campanha finalizada; Todos os grupos de anúncios estão pausados; Todos os anúncios estão pausados,Pesquisa,"835,92",1.491,58,"3,89%","21,49","1246,35","0,00",0,"0,00","0,44", --,CPA desejado,58,"1,72%","1,00","21,49","1246,35","44,30%","47,68%","8,01%","26,00%","64,81%","9,19%","12,37%","78,44%","9,19%","61,76%","20,93%"
Pausada,Remodeling Services near You,"35,00", --,Diário,USD,Pausado,campanha pausada,Inteligente,"12,35",63.755,1.532,"2,40%","0,51","787,65","0,00",0,"0,00", --, --,Maximizar cliques,1.532,"0,13%","2,00","0,51","393,83", --, --, --, --, --, --, --, --, --, --,< 10%
Removida,KITCHEN AND BATHROOMS,"30,00", --,Diário,USD,Removido,campanha removida; campanha finalizada,Pesquisa,"609,52",698,58,"8,31%","7,34","425,45","0,00",0,"0,00", --, --,Maximizar as conversões,58,"1,72%","1,00","7,34","425,45",< 10%,"52,21%","44,79%",< 10%,"53,99%","44,77%",< 10%,"54,69%","44,77%",< 10%,< 10%
Pausada,[V4] | Search | Leads | Kitchen #2,"50,00", --,Diário,USD,Pausado,campanha pausada,Pesquisa,"1143,64",11,3,"27,27%","4,19","12,58","0,00",0,"0,00","0,21", --,CPA desejado,3,"0,00%","0,00","4,19","0,00","21,43%","78,57%","0,00%","10,71%","89,29%","0,00%",< 10%,> 90%,"0,00%","33,33%","47,50%"
Pausada,Rent Apartment in Fort Myers,"15,00", --,Diário,USD,Pausado,campanha pausada,Inteligente,"2,63",162.891,3.254,"2,00%","0,13","428,95","0,00",0,"0,00", --, --,Maximizar cliques,3.254,"0,00%","0,00","0,13","0,00", --, --, --, --, --, --, --, --, --, --,< 10%
Pausada,Leads-Search-5,"150,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todas as palavras-chave estão pausadas; Todos os anúncios estão pausados,Pesquisa,"64,74",250.948,4.074,"1,62%","3,99","16246,58","0,00",0,"0,00", --, --,Maximizar as conversões,4.074,"0,69%","28,00","3,99","580,23",< 10%,"67,83%","24,34%",< 10%,"70,77%","24,53%",< 10%,"74,06%","24,53%","15,19%",< 10%
Pausada,Search - Mike Renovations,"15,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todas as palavras-chave estão pausadas; Todos os anúncios estão pausados,Pesquisa,"130,06",4.262,413,"9,69%","1,34","554,33","0,00",0,"0,00", --, --,Maximizar cliques,413,"0,00%","0,00","1,34","0,00",< 10%,"79,83%","11,77%",< 10%,"81,99%","11,82%",< 10%,"86,53%","11,82%","10,06%",< 10%
Pausada,Campanha 1,"150,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todas as palavras-chave estão pausadas; Todos os anúncios estão pausados,Pesquisa,"310,40",3.447,76,"2,20%","14,08","1069,94","0,00",0,"0,00","0,27", --,Maximizar as conversões,76,"0,00%","0,00","14,08","0,00","26,64%","68,47%","4,89%","11,34%","83,76%","4,90%",< 10%,"87,13%","4,90%","29,21%","19,87%"
Pausada,[V4] Search | Leads | Kitchen,"50,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todos os anúncios estão pausados,Pesquisa,"765,59",41.203,2.453,"5,95%","12,86","31544,81","0,00",0,"0,00","0,26", --,Maximizar as conversões,2.453,"4,12%","101,00","12,86","312,32","25,87%","51,73%","22,41%","17,03%","60,07%","22,90%",< 10%,"67,41%","22,90%","47,75%","18,40%"
Pausada,Leads-Search-Mike,"30,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todas as palavras-chave estão pausadas; Todos os anúncios estão pausados,Pesquisa,"37,04",17.033,236,"1,39%","2,67","630,95","0,00",0,"0,00", --, --,Maximizar as conversões,236,"0,85%","2,00","2,67","315,47",< 10%,"56,77%","34,26%",< 10%,"61,25%","35,10%",< 10%,"63,75%","35,10%",< 10%,< 10%
Pausada,[V4] YouTube | Leads,"20,00", --,Diário,USD,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; Todos os anúncios estão pausados; a maioria dos anúncios foi reprovada,Geração de demanda,"49,02",8.200,626,"7,63%","0,64","401,95","0,00",0,"0,00", --, --,Maximizar as conversões,25,"0,00%","0,00","16,08","0,00", --, --, --, --, --, --, --, --, --, --, --
