Relatório de locais
Todo o período
Local,Campanha,Grupo de anúncios,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"15,0|mi|Fort Myers, FL",[V4] YouTube | Leads, --,USD,"46,76",5.475,403,"7,36%","0,64","256,03","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Kitchen l Campeões #2, --,USD,"360,63",32,1,"3,13%","11,54","11,54","0,00%","0,00","0,00"
"2,0|km|(26.619350, -82.024588) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"0,00",8,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.622238, -81.957942) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Naples, Florida, United States",[V4] | Search | Leads | Full Home, --,USD,"1806,48",229,15,"6,55%","27,58","413,68","0,00%","0,00","0,00"
"10,0|mi|(26.494052, -81.747250) (custom)",Campanha 1, --,USD,"481,36",220,7,"3,18%","15,13","105,90","0,00%","0,00","0,00"
"2,0|km|(26.661517, -81.932602) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,"590,00",19,1,"5,26%","11,21","11,21","0,00%","0,00","0,00"
"Condado de Lee, Flórida, Estados Unidos",Leads-Search-5, --,USD,"57,22",114.823,1.977,"1,72%","3,32","6570,03","0,15%","3,00","2190,01"
"34103, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Central Naples, Florida, United States",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Fort Myers, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1914,56",90,5,"5,56%","34,46","172,31","0,00%","0,00","0,00"
"2,0|km|(26.539338, -82.028666) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"20,0|mi|Naples, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] 08.07 l Ligação, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",Campanha 1, --,USD,"131,29",173,2,"1,16%","11,36","22,71","0,00%","0,00","0,00"
"2,0|km|(26.658630, -82.067503) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.549166, -81.995020) (personalizado)",[V4] | Kitchen l Campeões, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"141,77",68,2,"2,94%","4,82","9,64","0,00%","0,00","0,00"
"Venice, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"0,00",20,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",Campanha 1, --,USD,"436,26",638,19,"2,98%","14,65","278,33","0,00%","0,00","0,00"
"34103, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] | Search | Leads | Contractors, --,USD,"1057,84",649,28,"4,31%","24,52","686,54","0,00%","0,00","0,00"
"10,0|mi|Naples, Flórida",[V4] Search | Leads | Kitchen, --,USD,"699,95",6.888,381,"5,53%","12,65","4821,28","6,30%","24,00","200,89"
"Buckingham, Flórida, Estados Unidos",[V4] 08.06 l Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Fort Myers Shores, Flórida, Estados Unidos",Campanha 1, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"North Port, Flórida, Estados Unidos",Leads-Performance Max-1, --,USD,"13,38",138,5,"3,62%","0,37","1,85","0,00%","0,00","0,00"
"2,0|km|(26.680106, -82.075400) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"10,0|mi|Naples, Flórida",[V4] Search | Leads | Home Remodeling, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"20,0|mi|Naples, Flórida",[V4] Institucional | Concorrentes, --,USD,"172,81",57,2,"3,51%","4,93","9,85","0,00%","0,00","0,00"
"Villas, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1072,71",107,3,"2,80%","38,26","114,78","0,00%","0,00","0,00"
"34119, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"North Naples, Florida, United States",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Kitchen, --,USD,"1646,57",1.118,76,"6,80%","24,22","1840,87","0,00%","0,00","0,00"
"Pine Ridge, Florida, United States",[V4] | Search | Leads | Contractors, --,USD,"655,45",163,5,"3,07%","21,37","106,84","0,00%","0,00","0,00"
"34102, Flórida, Estados Unidos",[V4] Search | Leads | Services Exp1: CPA Desejado, --,USD,"1563,15",60,3,"5,00%","31,26","93,79","0,00%","0,00","0,00"
"Buckingham, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"4798,00",10,2,"20,00%","23,99","47,98","0,00%","0,00","0,00"
"Naples, Flórida, Estados Unidos",Leads-Search-MIKE, --,USD,"13,13",63,3,"4,76%","0,28","0,83","0,00%","0,00","0,00"
"2,0|km|(26.539338, -82.028666) (personalizado)",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"2,0|km|(26.513535, -81.946955) (personalizado)",[V4] | Kitchen l Campeões #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"34109, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"2623,41",137,14,"10,22%","25,67","359,41","0,00%","0,00","0,00"
"Bonita Springs, Flórida, Estados Unidos",KITCHEN AND BATHROOMS, --,USD,"0,00",9,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"15,0|mi|Fort Myers, Flórida",[V4] Search | Leads | Kitchen, --,USD,"1662,45",3.833,449,"11,71%","14,19","6372,18","8,69%","39,00","163,39"
"Cape Coral, Flórida, Estados Unidos",[V4] | Search | Leads | Full Home, --,USD,"1858,48",207,13,"6,28%","29,59","384,71","0,00%","0,00","0,00"
