Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
V4 - Envio de Formulário,Ativado,"""home renovation company naples""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"4,00",0,0
V4 - Envio de Formulário,Pausado,"""trusted remodeling contractor""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"4,00",0,0
V4 - Envio de Formulário,Ativado,"""remodeling contractor naples""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Pausado,"""general contractor naples fl""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Pausado,campanha pausada; grupo de anúncios pausado; pausado; baixa qualidade,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
V4 - Envio de Formulário,Ativado,"""renovation contractor naples fl""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Calls from Smart Campaign Ads,Pausado,"""home contractor near me""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Pausado,"""home contractor near me""",Correspondência de frase,[V4] | Search | Leads | Contractors,Contractors,Pausado,campanha pausada; grupo de anúncios pausado; pausado,,USD,0,0,0, --,0,0,0, --,"3,00",0,0
V4 - Envio de Formulário,Ativado,"""home renovation contractor naples""",Correspondência de frase,[V4] | Search | Leads | Full Home,Full Home,Não qualificado,campanha pausada,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Ativado,"""home renovation fort myers""",Correspondência de frase,[V4] | Search | Leads | Full Home,Full Home,Não qualificado,campanha pausada,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Pausado,"""kitchen remodel company""",Correspondência de frase,[V4] | Search | Leads | Kitchen,Kitchen,Pausado,campanha pausada; pausado,,USD,0,0,0, --,0,0,0, --,"16,00",0,0
V4 - Envio de Formulário,Ativado,"""home renovation fort myers""",Correspondência de frase,[V4] | Search | Leads | Contractors,Full Home,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
V4 - Envio de Formulário,Ativado,"""contractor for remodel""",Correspondência de frase,[V4] Search | Leads | Kitchen,Full Remodeling,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Clique no Botão de Ligação,Ativado,"""Bathroom remodeling""",Correspondência de frase,[V4] Search | Leads | Kitchen,Bathroom & Tile Installation,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Envio de Formulário - Site,Ativado,bathroom remodel,Correspondência ampla,[V4] Search | Leads | Kitchen,Bathroom & Tile Installation,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"1,00",0,0
Agendamento | Site,Ativado,bathroom remodel,Correspondência ampla,[V4] Search | Leads | Kitchen,Bathroom & Tile Installation,Não qualificado,campanha pausada; grupo de anúncios pausado,,USD,0,0,0, --,0,0,0, --,"2,00",0,0
