Relatório de programação de anúncios
Todo o período
Data e hora,Campanha,Ajuste de lance,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Taxa de conv.,Conversões,Custo / conv.
"Domingos, o dia todo",[V4] | Search | Leads | Contractors, --,USD,"1152,21",216,19,"8,80%","13,10","248,88","0,00%","0,00","0,00"
"Quartas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Concorrentes, --,USD,"251,82",33,1,"3,03%","8,31","8,31","0,00%","0,00","0,00"
"Quintas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Mike Renovations, --,USD,"2380,00",12,3,"25,00%","9,52","28,56","0,00%","0,00","0,00"
"Domingos, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"1867,02",94,9,"9,57%","19,50","175,50","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"513,10",71,3,"4,23%","12,14","36,43","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"665,28",71,2,"2,82%","23,62","47,23","0,00%","0,00","0,00"
"Segundas-feiras, o dia todo",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Sextas-feiras, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"55,62",819,58,"7,08%","0,79","45,55","0,00%","0,00","0,00"
"Quartas-feiras, o dia todo",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Domingos, o dia todo",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Search | Leads | Contractors, +50%,USD,"1000,28",275,16,"5,82%","17,19","275,08","6,25%","1,00","275,08"
"Quartas-feiras, o dia todo",[V4] | Search | Leads | Contractors, +50%,USD,"1149,73",300,13,"4,33%","26,53","344,92","7,69%","1,00","344,92"
"Segundas-feiras, o dia todo",[V4] | Kitchen l Campeões, --,USD,"0,00",1,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"2770,81",74,5,"6,76%","41,01","205,04","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"1081,70",83,5,"6,02%","17,96","89,78","0,00%","0,00","0,00"
"Domingos, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"3960,59",25,2,"8,00%","49,51","99,01","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Domingos, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Domingos, o dia todo",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Segundas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Mike Renovations, --,USD,"709,44",18,1,"5,56%","12,77","12,77","0,00%","0,00","0,00"
"Segundas-feiras, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"49,48",1.249,98,"7,85%","0,63","61,80","0,00%","0,00","0,00"
"Quintas-feiras, 7:00 AM – 9:00 PM",Campanha 1, --,USD,"216,91",274,6,"2,19%","9,91","59,43","0,00%","0,00","0,00"
"Domingos, 9:00 AM – 9:00 PM",Campanha 1, --,USD,"320,76",889,19,"2,14%","15,01","285,16","0,00%","0,00","0,00"
"Segundas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Concorrentes, --,USD,"618,13",32,2,"6,25%","9,89","19,78","0,00%","0,00","0,00"
"Quintas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Concorrentes, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,"1270,00",3,1,"33,33%","3,81","3,81","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Search | Leads | Contractors #2, +50%,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Quartas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Mike Renovations, --,USD,"3418,18",11,4,"36,36%","9,40","37,60","0,00%","0,00","0,00"
"Sextas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Mike Renovations, --,USD,"3038,18",11,3,"27,27%","11,14","33,42","0,00%","0,00","0,00"
"Quartas-feiras, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"3265,00",40,5,"12,50%","26,12","130,60","0,00%","0,00","0,00"
"Segundas-feiras, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"1807,22",54,7,"12,96%","13,94","97,59","0,00%","0,00","0,00"
"Terças-feiras, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"76,60",724,71,"9,81%","0,78","55,46","0,00%","0,00","0,00"
"Sábados, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"34,19",1.646,89,"5,41%","0,63","56,27","0,00%","0,00","0,00"
"Domingos, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"39,36",1.864,132,"7,08%","0,56","73,37","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Search | Leads | Contractors, --,USD,"650,56",226,8,"3,54%","18,38","147,03","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Search | Leads | Contractors, --,USD,"1301,43",189,13,"6,88%","18,92","245,97","0,00%","0,00","0,00"
"Segundas-feiras, 7:00 AM – 9:00 PM",Campanha 1, --,USD,"195,42",793,11,"1,39%","14,09","154,97","0,00%","0,00","0,00"
"Sextas-feiras, 7:00 AM – 9:00 PM",Campanha 1, --,USD,"0,00",2,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Concorrentes, --,USD,"178,36",67,2,"2,99%","5,98","11,95","0,00%","0,00","0,00"
"Segundas-feiras, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"0,00",53,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Quartas-feiras, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"1394,41",114,7,"6,14%","22,71","158,96","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Quartas-feiras, o dia todo",[V4] | Search | Leads | Contractors #2, +50%,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Segundas-feiras, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Quartas-feiras, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,"0,00",5,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"947,12",73,2,"2,74%","34,57","69,14","0,00%","0,00","0,00"
"Quintas-feiras, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"51,38",935,74,"7,91%","0,65","48,04","0,00%","0,00","0,00"
"Segundas-feiras, o dia todo",[V4] | Search | Leads | Contractors, --,USD,"3297,42",184,16,"8,70%","37,92","606,73","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Terças-feiras, 7:00 AM – 9:00 PM",Campanha 1, --,USD,"280,43",654,13,"1,99%","14,11","183,40","0,00%","0,00","0,00"
"Quartas-feiras, 7:00 AM – 9:00 PM",Campanha 1, --,USD,"532,65",582,21,"3,61%","14,76","310,00","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"7225,45",39,5,"12,82%","56,36","281,79","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Search | Leads | Contractors #2, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,"2490,00",1,1,"100,00%","2,49","2,49","0,00%","0,00","0,00"
"Terças-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Mike Renovations, --,USD,"1995,24",21,5,"23,81%","8,38","41,90","0,00%","0,00","0,00"
"Quartas-feiras, 6:00 AM – 11:00 PM",[V4] YouTube | Leads, --,USD,"63,81",963,104,"10,80%","0,59","61,45","0,00%","0,00","0,00"
"Terças-feiras, o dia todo",[V4] | Kitchen l Campeões, --,USD,"0,00",6,0,"0,00%",0,"0,00","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Search | Leads | Contractors, --,USD,"703,21",254,11,"4,33%","16,24","178,61","0,00%","0,00","0,00"
"Sextas-feiras, o dia todo",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Kitchen l Campeões, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Sábados, 9:00 AM – 9:00 PM",Campanha 1, --,USD,"304,26",253,6,"2,37%","12,83","76,98","0,00%","0,00","0,00"
"Sextas-feiras, 12:00 AM – 11:45 PM",[V4] Institucional | Concorrentes, --,USD,0,0,0, --,0,"0,00","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Search | Leads | Kitchen, --,USD,"3485,88",50,5,"10,00%","34,86","174,29","0,00%","0,00","0,00"
"Sábados, o dia todo",[V4] | Search | Leads | Kitchen #2, --,USD,"3140,00",2,1,"50,00%","6,28","6,28","0,00%","0,00","0,00"
"Quintas-feiras, o dia todo",[V4] | Kitchen l Campeões #2, --,USD,"2164,03",67,4,"5,97%","36,25","144,99","0,00%","0,00","0,00"
Total: Programações de anúncios,,,USD,"376,95",14.422,883,"6,12%","6,16","5436,33","0,23%","2,00","2718,17"
Total: Conta,,,USD,"128,99",571.038,13.779,"2,41%","5,35","73655,67","1,23%","170,00","433,27"
Total: Performance Max,,,USD,"24,34",2.284,82,"3,59%","0,68","55,59","0,00%","0,00","0,00"
Total: Inteligente,,,USD,"5,37",226.646,4.786,"2,11%","0,25","1216,60","0,04%","2,00","608,30"
Total: Pesquisa,,,USD,"215,57",333.908,8.285,"2,48%","8,69","71981,53","2,03%","168,00","428,46"
Total: Geração de demanda,,,USD,"49,02",8.200,626,"7,63%","0,64","401,95","0,00%","0,00","0,00"
