Ad group report
"June 17, 2026 - June 23, 2026"
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Target CPM,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,CTR,Conv. rate,Conversions,Cost / conv.
Enabled,Core | institucional | amplo,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Group 10 - B2B,V4 - SEARCH - SERVICES LP + Localização,Not eligible,campaign ended; campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[LOCATIONS] [PERSONA],[V4] [YOUTUBE],Not eligible,some ads disapproved; campaign paused,USD, --,5.26,Responsive video ad,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Core | serviços de irrigaçao | amplo,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,Not eligible,some ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,GROUP 4 - IRRIGATION INSTALLATION,V4 - SEARCH - SERVICES LP + Localização,Not eligible,campaign ended; campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[SIAG] Company_Services,AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[SIAG] Irrigation_Install_Near_Me,AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[02-26-Q1] Smart_Irrigation_Efficiency,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[V4] [SIAG] B2B,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,1,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Enabled,[Seasonal-02-26-Q1] Spring Startup & Audit,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,19,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Enabled,[SIAG] Irrigation_Repair_New,AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[Emergency-02-26-Q1] Precision Repair,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,203,20,9.85%,USD,8.97,179.40,9.85%,0.00%,0.00,0.00
Enabled,[V4] [New] Irrigation_System_Installation,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,3,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Enabled,B2C [HOT] Emergency Repair,[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[Legacy] Sprinkler Repair,AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Concorrentes,V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,BRAND NAME,V4 - SEARCH - BRAND,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Ad group 1,[V4] [DISPLAY],Not eligible,most ads limited by policy; campaign paused,USD, --, --,Display,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Core | serviços de irrigaçao | amplo,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Core | institucional | amplo,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,GROUP 4 - IRRIGATION INSTALLATION,V4 - SEARCH - SERVICES LP,Not eligible,campaign ended; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Group 10 - B2B,V4 - SEARCH - SERVICES LP,Not eligible,campaign ended; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[B2B] Multi-Family & Condo,[V4] [AQ] B2B Services,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[B2B] Luxury Estates & Snowbirds,[V4] [AQ] B2B Services,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Irrigation,[V4] [Ligações Diretas],Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Concorrentes #2,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,GROUP 3 - IRRIGATION SYSTEM REPAIR,V4 - SEARCH - SERVICES LP,Not eligible,campaign ended; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,[B2B] HOA & Property Manager,[V4] [AQ] B2B Services,Not eligible,campaign paused; unknown,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Enabled,Institucional,[V4] [Ligações Diretas],Not eligible,most ads disapproved; campaign paused,USD, --, --,Standard,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
