Campaign report
"June 17, 2026 - June 23, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Optimization score,Impr.,Clicks,CTR,Avg. CPC,Conversions,Cost / conv.,Cost,Phone calls,Results,Phone impr.,Conv. rate,All conv. rate,Bid strategy type,Conv. value,All conv.,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Search lost top IS (budget),Search lost IS (budget),Click share,Search exact match IS,Search lost abs. top IS (rank),Search lost abs. top IS (budget),Search lost top IS (rank)
Enabled,V4 - SEARCH - SERVICES LP,27.00, --,Daily,USD,Ended,campaign ended,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Enabled,[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,59.00, --,Daily,USD,Eligible (Limited),limited by budget,Performance Max,100.00,"1,293",52,4.02%,9.12,4.00,118.67,474.42,5,Phone call lead: 4.00,996,5.26%,5.26%,Maximize Conversions (Target CPA),0.00,4.00,30.43%, --, --,55.66%, --,13.91%,18.76%,31.47%, --, --, --
Paused,V4 | PMAX | CALLS,23.00, --,Daily,USD,Paused,campaign paused; some asset groups disapproved,Performance Max, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [YOUTUBE],5.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Target CPM,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,10.00, --,Daily,USD,Paused,campaign paused; most ads disapproved,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [DISPLAY],5.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy,Display, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],30.00, --,Daily,USD,Paused,campaign paused,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,V4 - SEARCH - BRAND,10.00, --,Daily,USD,Paused,campaign paused,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Target Impression Share,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,45.00, --,Daily,USD,Paused,campaign paused; most ads disapproved,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [AQ] B2B Services,20.00, --,Daily,USD,Paused,campaign paused,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [Ligações Diretas],10.00, --,Daily,USD,Paused,campaign paused; most ads disapproved,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,45.00, --,Daily,USD,Paused,campaign paused,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Enabled,V4 - SEARCH - SERVICES,27.00, --,Daily,USD,Eligible,,Search,97.61,226,20,8.85%,8.97,0.00,0.00,179.40,0,0,226,0.00%,0.00%,Maximize Conversions,0.00,0.00,19.94%,12.29%,< 10%,37.78%,42.28%,42.28%,13.39%,26.23%,51.12%,42.28%,45.43%
Paused,V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,18.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Target Impression Share,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,V4 - SEARCH - SERVICES LP + Localização,27.00, --,Daily,USD,Paused,campaign paused; campaign ended,Search, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Paused,[V4] [PMAX] [CALL],10.00, --,Daily,USD,Paused,campaign paused,Performance Max, --,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,Maximize Conversions,0.00,0.00, --, --, --, --, --, --, --, --, --, --, --
Total: Campaigns, --, --, --, --,USD, --,, --, --,"1,519",72,4.74%,9.08,4.00,163.55,653.82,5,Phone call lead: 4.00,"1,222",4.16%,4.16%, --,0.00,4.00,28.01%,12.29%, --,51.54%,42.28%,20.45%,16.84%,31.12%, --, --,45.43%
Total: Account,,,,,USD,,,,,"3,992",333,8.34%,4.49,32.00,46.76,1496.32,5,Phone call lead: 4.00,"1,222",8.96%,8.96%,,28.00,32.00,28.01%,12.29%,,51.54%,42.28%,20.45%,16.84%,31.12%,,,45.43%
Total: Display,,,,,USD,,,Display,,0,0, --,0,0.00,0.00,0.00,0,0,0,0.00%, --,,0.00,0.00, --, --,, --, --, --, --, --,,, --
Total: Search,,,,,USD,,,Search,,226,20,8.85%,8.97,0.00,0.00,179.40,0,0,226,0.00%,0.00%,,0.00,0.00,19.94%,12.29%,,37.78%,42.28%,42.28%,13.39%,26.23%,,,45.43%
