Location report
"June 17, 2026 - June 23, 2026"
Location,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"2.0|km|33.576111,-111.831250",[V4] [DISPLAY],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|km|33.576111,-111.831250",[V4] [YOUTUBE],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85253, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Paradise Valley, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Phoenix, Arizona, United States",V4 - SEARCH - SERVICES LP + Localização,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85255, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85250, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
"85032, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Scottsdale, Arizona, United States",[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85284, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
"85050, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,0.22,28,1,3.57%,0.01,0.01,0.00%,0.00,0.00
"85258, Arizona, United States",[V4] [AQ] B2B Services,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85012, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
"85258, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,323.15,40,2,5.00%,6.46,12.93,0.00%,0.00,0.00
"Phoenix, Arizona, United States",AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Cave Creek, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85050, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|km|33.598266,-111.830007",[V4] [PMAX] [CALL],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|km|33.315056,-112.003333",[V4] [YOUTUBE],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85250, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Carefree, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85024, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85032, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|km|33.598278,-111.830000",[V4] [DISPLAY],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85028, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85258, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85258, Arizona, United States",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2 SCALCON,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85255, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,581.02,64,3,4.69%,12.40,37.19,0.00%,0.00,0.00
"2.0|mi|(33.446380,-112.059022)",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Fountain Hills, Arizona, United States",AQ] [SEA] [GOO] [MCL] [SIAG] [PIN]- Conserva Services New Approaches,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85257, Arizona, United States",V4 - SEARCH - SERVICES LP,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85007, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,1.35,48,2,4.17%,0.03,0.06,0.00%,0.00,0.00
"85054, Arizona, United States",[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Carefree, Arizona, United States",V4 | PMAX | CALLS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85268, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
"85028, Arizona, United States",[V4] [Ligações Diretas],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85253, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|mi|(33.458676,-112.010505)",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Fountain Hills, Arizona, United States",V4 | PMAX | CALLS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85268, Arizona, United States",[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|mi|(33.486168,-112.077796)",V4 | ONGOING | SEARCH | MAX CONVERSÕES| LP 2,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Paradise Valley Village, Arizona, United States",V4 | PMAX | CALLS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85253, Arizona, United States",V4 - SEARCH - SERVICES,USD,2464.12,17,4,23.53%,10.47,41.89,0.00%,0.00,0.00
"85254, Arizona, United States",[V4] [Ligações Diretas],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"Tempe, Arizona, United States",[V4] [Ligações Diretas],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85259, Arizona, United States",[V4] [Ligações Diretas],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85260, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,917.60,69,4,5.80%,15.83,63.31,25.00%,1.00,63.31
"85018, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,78.05,36,3,8.33%,0.94,2.81,0.00%,0.00,0.00
"85259, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85054, Arizona, United States",[V4] [AQ] B2B Services,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85254, Arizona, United States",V4 - SEARCH - SERVICES LP,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85260, Arizona, United States",[V4] [Ligações Diretas],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85016, Arizona, United States",V4 | ONGOING | SEARCH | MAX CLICKS | COMPETITORS,USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85260, Arizona, United States",[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"2.0|km|33.667556,-111.845583",[V4] [YOUTUBE],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
"85014, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
"85018, Arizona, United States",[V4] [AQ] CONSERVA - B2C Search - Services [Q2/26],USD,0,0,0, --,0,0.00,0.00%,0.00,0.00
