Search keyword report
"June 17, 2026 - June 23, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Final URL,Impr.,Interactions,CTR,Currency code,Avg. cost,Cost,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Landing page exp.,Exp. CTR,Conv. rate,Conversions,Cost / conv.
Paused,residential sprinkler installation,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,irrigation installation companies,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""residential sprinkler installation""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,irrigation installation services,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation controller""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,landscape irrigation installation near me,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""landscape irrigation installation near me""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,garden water irrigation system installation,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation installation services""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,irrigation installation and repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation installation companies""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation supply near me""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""garden water irrigation system installation""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation""",Phrase match,V4 - SEARCH - SERVICES LP,GROUP 4 - IRRIGATION INSTALLATION,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,home water pipe repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,sprinkler system repair cost,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,water irrigation system repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,leaky pipes plumbing,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,irrigation system repair company,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,drip hose repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,mountain irrigation,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,fix a leak,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,irrigation maintenance near me,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Not eligible,campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,fix sprinkler head,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,drip irrigation repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,drip sprinkler repair,Broad match,V4 - SEARCH - SERVICES LP,GROUP 3 - IRRIGATION SYSTEM REPAIR,Paused,paused; campaign ended, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
