Location report
"June 1, 2026 - June 16, 2026"
Location,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"85014, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,14,0,0.00%,0,0.00,0.00%,0.00,0.00
"85250, Arizona, United States",V4 - SEARCH - SERVICES,USD,23.13,16,1,6.25%,0.37,0.37,0.00%,0.00,0.00
"85258, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,405.69,121,6,4.96%,8.18,49.09,16.67%,1.00,49.09
"85284, Arizona, United States",V4 - SEARCH - SERVICES,USD,1192.06,43,2,4.65%,25.63,51.26,0.00%,0.00,0.00
"85050, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,436.31,72,4,5.56%,7.85,31.41,0.00%,0.00,0.00
"85253, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,27,0,0.00%,0,0.00,0.00%,0.00,0.00
"85006, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,26.63,130,7,5.38%,0.49,3.46,0.00%,0.00,0.00
"85283, Arizona, United States",V4 - SEARCH - SERVICES,USD,69.52,25,1,4.00%,1.74,1.74,100.00%,1.00,1.74
"85260, Arizona, United States",V4 - SEARCH - SERVICES,USD,459.52,49,2,4.08%,11.26,22.52,0.00%,0.00,0.00
"85008, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,105.94,296,16,5.41%,1.96,31.36,0.00%,0.00,0.00
"85259, Arizona, United States",V4 - SEARCH - SERVICES,USD,447.76,30,2,6.67%,6.72,13.43,0.00%,0.00,0.00
"85014, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,579.67,71,6,8.45%,6.86,41.16,0.00%,0.00,0.00
"85268, Arizona, United States",V4 - SEARCH - SERVICES,USD,708.29,29,2,6.90%,10.27,20.54,50.00%,1.00,20.54
"85004, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,4.67,114,8,7.02%,0.07,0.53,0.00%,0.00,0.00
"85022, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,98.01,212,19,8.96%,1.09,20.78,0.00%,0.00,0.00
"85009, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,52.39,388,20,5.15%,1.02,20.33,0.00%,0.00,0.00
"85250, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,325.46,29,2,6.90%,4.72,9.44,0.00%,0.00,0.00
"85251, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,351.44,277,22,7.94%,4.42,97.35,0.00%,0.00,0.00
"85085, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,521.79,57,4,7.02%,7.44,29.74,25.00%,1.00,29.74
"85015, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,30.06,181,7,3.87%,0.78,5.44,0.00%,0.00,0.00
"85253, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,2185.02,56,4,7.14%,30.59,122.36,25.00%,1.00,122.36
"85255, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,277.96,161,8,4.97%,5.59,44.75,0.00%,0.00,0.00
"85201, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,28,0,0.00%,0,0.00,0.00%,0.00,0.00
"85259, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,581.45,74,5,6.76%,8.61,43.03,20.00%,1.00,43.03
"85282, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,72,0,0.00%,0,0.00,0.00%,0.00,0.00
"85018, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,153.19,91,3,3.30%,4.65,13.94,0.00%,0.00,0.00
"85260, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,338.56,228,12,5.26%,6.43,77.19,0.00%,0.00,0.00
"85331, Arizona, United States",V4 - SEARCH - SERVICES,USD,1682.45,36,4,11.11%,15.14,60.57,0.00%,0.00,0.00
"85085, Arizona, United States",V4 - SEARCH - SERVICES,USD,703.53,34,2,5.88%,11.96,23.92,0.00%,0.00,0.00
"85024, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,816.13,107,4,3.74%,21.83,87.33,50.00%,2.00,43.66
"85007, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,149.56,184,12,6.52%,2.29,27.52,0.00%,0.00,0.00
