Search keyword report
"June 1, 2026 - June 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Final URL,Impr.,Interactions,CTR,Currency code,Avg. cost,Cost,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Landing page exp.,Exp. CTR,Conv. rate,Conversions,Cost / conv.
Enabled,"""irrigation system repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
 --,,Total: Filtered keywords, --, --, --,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
,,Total: Keywords in your account,,,,,,,"1,100",42,3.82%,USD,12.95,543.79,24.36%,15.86%,,49.12%,,,7.14%,3.00,181.26
,,Total: Your keywords,,,,,,,"1,100",42,3.82%,USD,12.95,543.79, --, --,, --,,,7.14%,3.00,181.26
,,Total: AI Max expanded matches,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: AI Max landing page matches,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: URL inclusions in your account,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Search keywords on display network,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Account,,,,,,,"10,010",666,5.74%,USD,4.06,2705.40,28.52%,15.86%,,53.61%,,,5.26%,35.00,77.30
,,Total: Video,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Search,,,,,,,"1,100",42,3.82%,USD,12.95,543.79,24.36%,15.86%,,49.12%,,,7.14%,3.00,181.26
,,Total: Display,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Performance Max,,,,,,,"4,360",239,3.39%,USD,4.23,1010.50,30.42%, --,,55.66%,,,2.51%,6.00,168.42
