"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","1","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","65","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Cinza","5","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Regulador Plástico","18","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","1","Filme Plástico Mágico para Bordado 45g","38","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","1","Entretela Não Tecido para Bordado Rasgável 40g Lec-40","53","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","1","Fita Mágica Instantanea Dupla Face Termocolante (Bainha Mágica) 2.0cm x 50m","75","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","1","A Lola","6","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","1","Tecidos","7","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","1","Toque Macio","11","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","1","Acessórios","10","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","1","Termocolante de Tecido","22","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","1","Tela de Poliéster Mesh","22","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","1","Entretela Dupla Face Adesiva E Termocolante 0,90cm x 50m","56","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","1","Política de Privacidade","23","Indexable",""
"https://lolaaviamentos.com.br/produtos/","1","Produtos","8","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","1","Kit Fita Dupla Face 19mm x 30m FD-01","36","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","1","Tecido Suede 160g","17","Indexable",""
"https://lolaaviamentos.com.br/contato/","1","Contato","7","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","1","Entretela Não Tecido para Bordado Toque Macio 40g Lepo-40","57","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","1","Entretela de Memória","20","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","1","Bordado","7","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Branca","6","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","1","Liquidação","10","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","TNT Termocolante","16","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","1","Filme Hidrossolúvel para Bordado 40g FH-10","42","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","1","Tela","4","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Tecido Plano","12","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/","1","Bordado","7","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/vies1/","1","Viés","4","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/","1","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","65","Indexable",""
"https://lolaaviamentos.com.br/entretela-alfaiataria/entretelas-de-malha/","1","Entretelas de Malha","19","Non-Indexable","Canonicalised"
