"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","6","Total: R$0,00","13","Mais vendidos","13","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","3","Total: R$0,00","13","R$411,00","8","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","3","Total: R$0,00","13","R$175,00","8","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","3","Total: R$0,00","13","R$14,90","7","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","1","Total: R$0,00","13","","0","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","3","Total: R$0,00","13","R$269,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","3","Total: R$0,00","13","R$171,90","8","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","1","Total: R$0,00","13","","0","Indexable",""
"https://lolaaviamentos.com.br/produtos/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","3","Total: R$0,00","13","R$97,35","7","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","3","Total: R$0,00","13","R$247,50","8","Indexable",""
"https://lolaaviamentos.com.br/contato/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","3","Total: R$0,00","13","R$55,30","7","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","1","Total: R$0,00","13","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","1","Total: R$0,00","13","","0","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","3","Total: R$0,00","13","R$125,90","8","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/vies1/","1","Total: R$0,00","13","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/","6","Total: R$0,00","13","Mais vendidos","13","Indexable",""
