"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","Path 7","URLs","Indexable","Non-Indexable"
"https/","","","","","","","153","112","41"
"","www.lolaaviamentos.com.br/","","","","","","115","111","4"
"","","produtos/","","","","","78","78","0"
"","","","filme-plastico-magico-para-bordado-45g/","","","","1","1","0"
"","","","fita-magica/","","","","1","1","0"
"","","","tela-de-poliester-mesh-7dmsd/","","","","1","1","0"
"","","","entretela-dupla-face-90cm-50m/","","","","1","1","0"
"","","","tecido-suede-160g/","","","","1","1","0"
"","","","entretela-para-bordado-toque-macio-40g-90cm-100m/","","","","1","1","0"
"","","","filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","","","","1","1","0"
"","","","entretela-de-tnt-micro-ponto-termocolante-70g-lab-407-408/","","","","1","1","0"
"","","","entretela-de-tnt-micro-ponto-termocolante-60g-lab-409-410/","","","","1","1","0"
"","","","tela-de-poliester-105g-155-100m/","","","","1","1","0"
"","","","regulador-plastico-para-bone-1000-un/","","","","1","1","0"
"","","","https-www-lolaaviamentos-com-br-acessorios/","","","","1","1","0"
"","","","botao-de-forrar-encapar-para-bone-15mm-1000un/","","","","1","1","0"
"","","","entretela-hidrossoluvel-para-bordado-60g-52cm-25m/","","","","1","1","0"
"","","","entretela-cavalinho-de-memoria-termocolante-cinza-285g-16-100m/","","","","1","1","0"
"","","","entretela-cavalinho-de-memoria-termocolante-cinza-330g/","","","","1","1","0"
"","","","filme-papel-termocolante-definitivo-para-patchwork-48cm-5m/","","","","1","1","0"
"","","","entretela-para-bordado-rasgavel-40g-90cm-200m/","","","","1","1","0"
"","","","entretela-para-bordado-rasgavel-90g-90cm-200m/","","","","1","1","0"
"","","","entretela-para-bordado-rasgavel-30g-90cm-200m/","","","","1","1","0"
"","","","entretela-nao-tecido-para-bordado-toque-macio-rasgavel-60g-lef-60/","","","","1","1","0"
"","","","entretela-para-bordado-rasgavel-50g-90cm-200m/","","","","1","1","0"
"","","","entretela-para-bordado-preta-rasgavel-40g-90cm-200m/","","","","1","1","0"
"","","","entretela-para-bordado-toque-macio-rasgavel-40g-90cmx-200m/","","","","1","1","0"
"","","","entretela-nao-tecido-para-bordado-rasgavel-70g-lec-70/","","","","1","1","0"
