"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Meu carrinho 0","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[1]/div[3]/div/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver carrinho","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[2]/div/div/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver carrinho","","True","","","200","OK","Path-Relative","//body/header/div/div[@class='d-md-none']/div/div/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/header/div/div[3]/div/div/ul/li[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Entendi","","True","","","200","OK","Path-Relative","//body/div[2]/div[2]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[3]/div/div/div[2]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Mais Vendidos","","True","","","200","OK","Root-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[1]/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Entretelas para Bordados","","True","","","200","OK","Path-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[2]/div/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Entretelas para Alfaiataria","","True","","","200","OK","Path-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[3]/div/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Entretela de Memória","","True","","","200","OK","Path-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[4]/div/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Insumos para Bonés","","True","","","200","OK","Path-Relative","//body/div[@id='nav-hamburger']/div/div[@class='modal-scrollable-area']/div[@class='modal-body']/div/ul/li[7]/div/a","Navigation","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Alterar CEP","","True","","","200","OK","Path-Relative","//body/div[@id='modal-cart']/form/div[@class='modal-body']/div[4]/div[4]/div[2]/div[@id='cart-shipping-container']/div/div[1]/div[1]/div/div/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver mais produtos","","True","","","200","OK","Path-Relative","//body/div[@id='modal-cart']/form/div[@class='modal-body']/div[4]/div[6]/div[2]/div[3]/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver carrinho","","True","","","200","OK","Path-Relative","//body/div[@id='related-products-notification']/div[@class='modal-body']/div[1]/div[2]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[1]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[1]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[2]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[2]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[3]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[3]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[4]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[4]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[5]/div/div/div/div[1]/div[10]/div[@class='item-buy']/div/a","Content","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Comprar","","True","","","200","OK","Path-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[5]/div/div/div/div[3]/div[1]/a","Content","HTML","1103785","135671"
