"Anchor Text","Alt Text","Inlinks","Unique Inlinks","% of Total","Follow Inlinks","Nofollow Inlinks","Non-Descriptive"
"Mais Vendidos","0","64","32","62.750","64","0","false"
"","0","15","1","14.710","15","0","false"
"Comprar","0","12","1","11.760","12","0","false"
"Ver carrinho","0","3","1","2.940","3","0","false"
"Entretela de Memória","0","1","1","0.980","1","0","false"
"Ver mais produtos","0","1","1","0.980","1","0","false"
"Entretelas para Alfaiataria","0","1","1","0.980","1","0","false"
"Meu carrinho 0","0","1","1","0.980","1","0","false"
"Insumos para Bonés","0","1","1","0.980","1","0","false"
"Entendi","0","1","1","0.980","1","0","false"
"Alterar CEP","0","1","1","0.980","1","0","false"
"Entretelas para Bordados","0","1","1","0.980","1","0","false"
