"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://lolaaviamentos.com.br/","Non-Indexable","Canonicalised","0","","102","32","0","22.540","165","58","0","15","6","0"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","Non-Indexable","Canonicalised","1","","83","33","0","23.240","93","39","0","14","6","0"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","Non-Indexable","Canonicalised","1","","81","33","0","23.240","88","38","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","Indexable","","1","","62","12","0","8.450","104","38","0","22","13","0"
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","Non-Indexable","Canonicalised","1","","44","3","0","2.110","130","45","0","25","16","0"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","Indexable","","1","","45","3","0","2.110","131","44","0","20","11","0"
"https://www.lolaaviamentos.com.br/empresa/","Indexable","","1","","154","142","0","100.000","78","35","0","14","6","0"
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","Non-Indexable","Canonicalised","1","","81","33","0","23.240","88","38","0","14","6","0"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","Non-Indexable","Canonicalised","1","","99","33","0","23.240","139","49","0","14","6","0"
"https://lolaaviamentos.com.br/acessorios/","Non-Indexable","Canonicalised","1","","79","33","0","23.240","93","40","0","14","6","0"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","Non-Indexable","Canonicalised","1","","78","33","0","23.240","82","37","0","14","6","0"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","Indexable","","1","","58","10","0","7.040","100","38","0","22","13","0"
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","Indexable","","1","","41","5","0","3.520","113","41","0","20","11","0"
"https://www.lolaaviamentos.com.br/politica_privacidade/","Indexable","","1","","154","142","0","100.000","78","35","0","14","6","0"
"https://lolaaviamentos.com.br/produtos/","Non-Indexable","Canonicalised","1","","107","32","0","22.540","165","53","0","14","6","0"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","Non-Indexable","Canonicalised","1","","33","3","0","2.110","121","46","0","19","10","0"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","Indexable","","1","","50","9","0","6.340","104","39","0","23","14","0"
