"Address","Occurrences","Meta Keywords 1","Meta Keywords 1 Length","Indexability","Indexability Status"
"https://lolaaviamentos.com.br/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","0","","0","Indexable",""
"https://www.lolaaviamentos.com.br/empresa/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/acessorios/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","0","","0","Indexable",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","0","","0","Indexable",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/produtos/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/contato/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-toque-macio-40g-90cm-100m/","0","","0","Indexable",""
"https://www.lolaaviamentos.com.br/entretela-de-memoria/","0","","0","Indexable",""
"https://www.lolaaviamentos.com.br/bordado1/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/entretela-de-memoria/branca/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/liquidacao/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tnt-termocolante/","0","","0","Non-Indexable","Canonicalised"
"https://www.lolaaviamentos.com.br/produtos/filme-hidrossoluvel-para-bordado-40g-fh-10-15sed/","0","","0","Indexable",""
"https://lolaaviamentos.com.br/insumos-para-bones/tela/","0","","0","Non-Indexable","Canonicalised"
"https://lolaaviamentos.com.br/entretela-alfaiataria/tecido-plano/","0","","0","Non-Indexable","Canonicalised"
