"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://lolaaviamentos.com.br/","https://instagram.com/lolasolucoes","","","True","_blank","","301","Moved Permanently","Absolute","//body/header/section/div/div/div[1]/a[@class='social-icon'][1]","Header","HTML","0","0"
"Hyperlink","https://lolaaviamentos.com.br/","https://www.facebook.com/lolasolucoestexteis","","","True","_blank","","200","OK","Absolute","//body/header/section/div/div/div[1]/a[@class='social-icon'][2]","Header","HTML","1170286","236538"
"Hyperlink","https://lolaaviamentos.com.br/","https://www.youtube.com/@lolasolucoes","","","True","_blank","","200","OK","Absolute","//body/header/section/div/div/div[1]/a[@class='social-icon'][3]","Header","HTML","1005202","241582"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[1]/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://www.lolaaviamentos.com.br/","","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","True","","","200","OK","Absolute","//body/header/div/div[1]/div[2]/div/a","Header","HTML","1103785","135676"
"Hyperlink","https://lolaaviamentos.com.br/","https://wa.me/5543991196727","5543991196727","","True","","","302","Found","Absolute","//body/header/div/div[1]/div[4]/div[1]/div[1]/ul/li[@class='subutility-list-item'][1]/a","Header","HTML","0","0"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/cdn-cgi/l/email-protection","[email protected]","","True","","","404","Not Found","Root-Relative","//body/header/div/div[1]/div[4]/div[1]/div[1]/ul/li[@class='subutility-list-item'][2]/a","Header","HTML","0","0"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/account/register","Criar uma conta","","True","","","0","Blocked by robots.txt","Root-Relative","//body/header/div/div[1]/div[4]/div[1]/div[2]/div/ul/li[1]/a","Header","HTML","0","0"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/account/login/","Iniciar sessão","","True","","","0","Blocked by robots.txt","Root-Relative","//body/header/div/div[1]/div[4]/div[1]/div[2]/div/ul/li[2]/a","Header","HTML","0","0"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Meu carrinho 0","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[1]/div[3]/div/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver carrinho","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[2]/div/div/a","Header","HTML","1103785","135671"
"Hyperlink","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","Ver carrinho","","True","","","200","OK","Path-Relative","//body/header/div/div[@class='d-md-none']/div/div/a","Header","HTML","1103785","135671"
