"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://lolaaviamentos.com.br/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/","","",""
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","","",""
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","","",""
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","Indexable","","","","","","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","","",""
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","","",""
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","Indexable","","","","","","https://www.lolaaviamentos.com.br/produtos/fita-magica/","","",""
"https://www.lolaaviamentos.com.br/empresa/","Indexable","","","","","","https://www.lolaaviamentos.com.br/empresa/","","",""
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","","",""
"https://lolaaviamentos.com.br/bordado1/toque-macio/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/bordado1/toque-macio/","","",""
"https://lolaaviamentos.com.br/acessorios/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/acessorios/","","",""
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","","",""
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","Indexable","","","","","","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","","",""
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","Indexable","","","","","","https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","","",""
"https://www.lolaaviamentos.com.br/politica_privacidade/","Indexable","","","","","","https://www.lolaaviamentos.com.br/politica_privacidade/","","",""
"https://lolaaviamentos.com.br/produtos/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/produtos/","","",""
"https://lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/produtos/kit-fita-dupla-face-19mm-x-30m-fd-01/","","",""
"https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","Indexable","","","","","","https://www.lolaaviamentos.com.br/produtos/tecido-suede-160g/","","",""
"https://lolaaviamentos.com.br/contato/","Non-Indexable","Canonicalised","","","","","https://www.lolaaviamentos.com.br/contato/","","",""
