"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"JavaScript","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/assets/stores/js/linkedstore-v2-86f7bef17ed1b9a4e2456f7e6f0dc5ea30.js?v=19069155","","","True","","","200","OK","Protocol-Relative","//head/script[5]","Head","HTML","0","0"
"JavaScript","https://lolaaviamentos.com.br/","https://www.googletagmanager.com/gtag/js?id=G-9RVMLZYFWC&l=dataLayerTN","","","True","","","200","OK","Absolute","//head/script[9]","Head","HTML","0","0"
"JavaScript","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","","","True","","","200","OK","Root-Relative","//body/div[@class='js-home-sections-container']/section[@class='section-featured-home'][1]/div/div/div[2]/div/div/div[1]/div/div/script[1]","Content","HTML","0","0"
"JavaScript","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","","","True","","","200","OK","Root-Relative","//body/script[3]","Content","HTML","0","0"
"JavaScript","https://lolaaviamentos.com.br/","https://static.cloudflareinsights.com/beacon.min.js/v4513226cdae34746b4dedf0b4dfa099e1781791509496","","","True","","","200","OK","Absolute","//body/script[5]","Content","HTML","0","0"
"CSS","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/dart-style-colors-224559b17266be93525ad73d356609db.css","","","True","","","200","OK","Protocol-Relative","//head/link[4]","Head","HTML","0","0"
"CSS","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/amazonas/dart-style-async-26c0faa5fcddffeb858c87c538f55340.css","","","True","","","200","OK","Protocol-Relative","//head/link[5]","Head","HTML","0","0"
"Image","https://lolaaviamentos.com.br/","https://acdn-us.mitiendanube.com/stores/001/720/481/themes/common/logo-2381817-1754682754-c325014e3710438c242fa3453bf903381754682754-480-0.webp","","Lola Aviamentos - Entretelas para confecções e insumos para Bonés","True","","","200","OK","Protocol-Relative","//body/header/div/div[1]/div[2]/div/a/img","Header","HTML","4640","4640"
"Image","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[1]/div[4]/div[2]/div/div/div[3]/div[1]/img","Header","HTML","1103785","135671"
"Image","https://lolaaviamentos.com.br/","https://lolaaviamentos.com.br/","","","True","","","200","OK","Path-Relative","//body/header/div/div[@class='d-md-none']/div/div/div[3]/div[1]/img","Header","HTML","1103785","135671"
