"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://lolaaviamentos.com.br/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","8e64ef76f28e3591e663cdb2337c61ae","30","https://www.lolaaviamentos.com.br/","https://lolaaviamentos.com.br/"
"https://lolaaviamentos.com.br/account/register","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","46","","https://lolaaviamentos.com.br/account/register"
"https://lolaaviamentos.com.br/entretela-de-memoria/cinza/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","833b2c334234c9d6474f59de2e4f6ebe","57","https://www.lolaaviamentos.com.br/entretela-de-memoria/cinza/","https://lolaaviamentos.com.br/entretela-de-memoria/cinza/"
"https://lolaaviamentos.com.br/search/?q=tela+lt","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","47","","https://lolaaviamentos.com.br/search/?q=tela+lt"
"https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","b24aaf333a7ca9af8ba8fa058570ab30","68","https://www.lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/","https://lolaaviamentos.com.br/insumos-para-bones/regulador-plastico/"
"https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","text/html; charset=UTF-8","200","OK","Indexable","","982560cc604f1e8dcf71e5bdc484609b","82","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/","https://www.lolaaviamentos.com.br/produtos/filme-plastico-magico-para-bordado-45g/"
"https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","39e099bf2dd4fde49edf9dab6716b1d7","85","https://www.lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/","https://lolaaviamentos.com.br/produtos/entretela-para-bordado-rasgavel-40g-90cm-200m/"
"https://www.lolaaviamentos.com.br/produtos/fita-magica/","text/html; charset=UTF-8","200","OK","Indexable","","4658eb7557a6ba7884662bb6da0013eb","55","https://www.lolaaviamentos.com.br/produtos/fita-magica/","https://www.lolaaviamentos.com.br/produtos/fita-magica/"
"https://www.lolaaviamentos.com.br/empresa/","text/html; charset=UTF-8","200","OK","Indexable","","d289343d03435e200dd28af782a41aa8","42","https://www.lolaaviamentos.com.br/empresa/","https://www.lolaaviamentos.com.br/empresa/"
"https://lolaaviamentos.com.br/insumos-para-bones/suede1/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","bb03fc40c0f516782f66e91fda5f9704","56","https://www.lolaaviamentos.com.br/insumos-para-bones/suede1/","https://lolaaviamentos.com.br/insumos-para-bones/suede1/"
"https://lolaaviamentos.com.br/bordado1/toque-macio/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","81bd5a589aa32a18af580ffe935665f6","51","https://www.lolaaviamentos.com.br/bordado1/toque-macio/","https://lolaaviamentos.com.br/bordado1/toque-macio/"
"https://lolaaviamentos.com.br/acessorios/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","b63e78a04e0c0e9ef64b6a590c3a4787","41","https://www.lolaaviamentos.com.br/acessorios/","https://lolaaviamentos.com.br/acessorios/"
"https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","3d4a1a6e388ef121536ffed2a4df115f","66","https://www.lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/","https://lolaaviamentos.com.br/entretela-alfaiataria/termocolante1/"
"https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","text/html; charset=UTF-8","200","OK","Indexable","","d13e10c672ae0d5c59eb3c94c28f44c1","72","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/","https://www.lolaaviamentos.com.br/produtos/tela-de-poliester-mesh-7dmsd/"
"https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","text/html; charset=UTF-8","200","OK","Indexable","","34c94b04dffe1943aca478b0014d69e8","73","https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/","https://www.lolaaviamentos.com.br/produtos/entretela-dupla-face-90cm-50m/"
"https://www.lolaaviamentos.com.br/politica_privacidade/","text/html; charset=UTF-8","200","OK","Indexable","","fd80d407b84f434d47d32d8d66ba59ab","55","https://www.lolaaviamentos.com.br/politica_privacidade/","https://www.lolaaviamentos.com.br/politica_privacidade/"
