"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://teksea.net/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Bombas-e-Fluxometro.svg","0","","","","","","Indexable",""
"https://teksea.net/wp-content/plugins/creame-whatsapp-me/public/css/joinchat-btn.min.css?ver=6.2.3","0","","","","","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Mobilidade-Eletrica.svg","0","","","","","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/02/Assinatura-Horizontal-Preta.svg","0","","","","","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/02/svg-Acucar-Etanol.svg","0","","","","","","Indexable",""
"https://teksea.net/mercados-que-atendemos/hidroeletrica/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/mercados-que-atendemos/hidroeletrica/","","Indexable",""
"https://teksea.net/produto/tekpower-scr/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/produto/tekpower-scr/","","Indexable",""
"https://teksea.net/produtos/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/produtos/","","Indexable",""
"https://teksea.net/subcategoria/tiristorizados-scr/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/subcategoria/tiristorizados-scr/","","Indexable",""
"https://teksea.net/eventos/flibs-fort-lauderdale-international-boat-show/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/eventos/flibs-fort-lauderdale-international-boat-show/","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/02/img_utilidades_e_infraestrutura.webp","0","","","","","","Indexable",""
"https://teksea.net/wp-content/plugins/gtranslate/js/dropdown.js?ver=3.1.1","0","","","","","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/03/kral_esta_es_leo_lubrificante-1024x1024.webp","0","","","","","","Indexable",""
"https://teksea.net/wp-content/uploads/2026/03/ams1024_m_dulo_para_monitora_o_e_alarmes-1024x1024.webp","0","","","","","","Indexable",""
"https://teksea.net/eventos/international-workboat-show/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://teksea.net/eventos/international-workboat-show/","","Indexable",""
"https://teksea.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","","","","Indexable",""
