"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://teksea.net/","3","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore","99","Auditoria da Petrobras é concluída com sucesso e reforça qualidade da TekSea.","77","Indexable",""
"https://teksea.net/mercados-que-atendemos/hidroeletrica/","1","Hidroelétrica","13","","0","Indexable",""
"https://teksea.net/produto/tekpower-scr/","1","SCR – Retificador / Carregador Tiristorizado","44","","0","Indexable",""
"https://teksea.net/produtos/","7","Produtos TekSea","15","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore","99","Indexable",""
"https://teksea.net/subcategoria/tiristorizados-scr/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/eventos/flibs-fort-lauderdale-international-boat-show/","0","","0","","0","Indexable",""
"https://teksea.net/eventos/international-workboat-show/","0","","0","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/telecomunicacoes/","1","Telecomunicações","16","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/petroleo-gas/","1","Petróleo & Gás","14","","0","Indexable",""
"https://teksea.net/subcategoria/gateways-proprietarios-multiprotocolos/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/segmento/bombas-e-fluxometros/","1","Bombas e Fluxômetros","20","","0","Indexable",""
"https://teksea.net/subcategoria/parafuso-triplo/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/subcategoria/ups-nobreak/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/subcategoria/radio-telecom/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/eventos/nt-expo-negocios-nos-trilhos/","0","","0","","0","Indexable",""
"https://teksea.net/produto/consoles-e-mesas-de-controle/","1","Consoles e mesas de controle","28","","0","Indexable",""
"https://teksea.net/produto/industria-paineis-de-distribuicao-eletrica/","1","Indústria | Painéis de Distribuição Elétrica","44","","0","Indexable",""
"https://teksea.net/subcategoria/baterias/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/saneamento/","1","Saneamento","10","","0","Indexable",""
"https://teksea.net/produto/iot-internet-of-things-skytek/","1","IoT | Internet of Things – Skytek","33","","0","Indexable",""
"https://teksea.net/produto/retificador-carregador-chaveado-tps125/","1","Retificador / Carregador Chaveado TPS 125","41","","0","Indexable",""
"https://teksea.net/produto/gradil-tekbox-heavy-duty/","1","Gradil TekBox Heavy-Duty","24","","0","Indexable",""
"https://teksea.net/teksea-e-recertificada-na-iso-90012015-consolidando-seu-padrao-de-excelencia-em-qualidade/","1","TekSea é recertificada na ISO 9001:2015, consolidando seu padrão de excelência em qualidade.","92","","0","Indexable",""
"https://teksea.net/eventos/sc-expo-defense/","0","","0","","0","Indexable",""
"https://teksea.net/sobre-nos/","1","TekSea: Um time sem fronteiras!","31","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/transporte/","1","Transporte","10","","0","Indexable",""
"https://teksea.net/produto/thor-monitoramento-remoto/","1","THOR | Monitoramento remoto","27","","0","Indexable",""
"https://teksea.net/produto/bms-sistema-de-monitoramento-de-baterias/","1","BMS – Sistema de Monitoramento de Baterias","42","","0","Indexable",""
"https://teksea.net/investimentos-bacia-de-campos-setor-offshore/","1","Petrobras projeta futuro da Bacia de Campos com investimentos bilionários e novos projetos offshore","99","","0","Indexable",""
"https://teksea.net/produto/tekleakage-monitoramento-de-isolacao-em-barramentos-eletricos/","1","TEKLEAKAGE | Monitoramento de isolação em barramentos elétricos","63","","0","Indexable",""
"https://teksea.net/produto/teknav-nlc-painel-luzes-de-navegacao-e-sinalizacao/","1","Teknav NLC | Painel Luzes de Navegação e Sinalização","52","","0","Indexable",""
"https://teksea.net/subcategoria/compactos-moveis/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/mobilidade-eletrica/","1","Mobilidade Elétrica","19","","0","Indexable",""
"https://teksea.net/documentacao/","1","Documentação","12","","0","Indexable",""
"https://teksea.net/subcategoria/conversor-estatico/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/auditoria-da-petrobras-e-concluida-com-sucesso-e-reforca-qualidade-da-teksea/","1","Auditoria da Petrobras é concluída com sucesso e reforça qualidade da TekSea.","77","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/defesa-seguranca/","1","Defesa & Segurança","18","","0","Indexable",""
"https://teksea.net/produto/kral-display-e-unidade-de-processamento-bem500/","1","KRAL Display e Unidade de Processamento BEM500","46","","0","Indexable",""
"https://teksea.net/produto/ups-industrial-scr-igbt/","1","UPS Industrial SCR-IGBT","23","","0","Indexable",""
"https://teksea.net/produto/tms-1000-monitoracao-e-alarmes-de-tanques/","1","TMS-1000 Monitoração e Alarmes de Tanques","41","","0","Indexable",""
"https://teksea.net/subcategoria/protecao/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/acucar-etanol/","1","Açúcar & Etanol","15","","0","Indexable",""
"https://teksea.net/segmento/automacao/","1","Automação","9","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/siderurgia-mineracao/","1","Siderurgia & Mineração","22","","0","Indexable",""
"https://teksea.net/noticias/","0","","0","","0","Indexable",""
"https://teksea.net/segmento/acessorios/","1","Acessórios","10","","0","Indexable",""
"https://teksea.net/produto/marine-paineis-distribuicao-principal-e-auxiliares/","1","MARINE | Painéis Distribuição Principal e Auxiliares","52","","0","Indexable",""
"https://teksea.net/produto/kral-estacoes-oleo-lubrificante/","1","KRAL | Estações Óleo Lubrificante","33","","0","Indexable",""
"https://teksea.net/produto/kral-bombas-serie-k/","1","KRAL Bombas | Série K","21","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/energia/","1","Energia","7","","0","Indexable",""
"https://teksea.net/subcategoria/inversor-cc-ca-com-chave-estatica/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/produto/radares/","1","Radares","7","","0","Indexable",""
"https://teksea.net/produto/display-ecdis/","1","Display ECDIS","13","","0","Indexable",""
"https://teksea.net/produto/tekmation-iamcs-sistema-integrado-de-automacao/","1","Tekmation IAMCS | Sistema Integrado de Automação","48","","0","Indexable",""
"https://teksea.net/subcategoria/bombas-de-parafuso-duplo/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/segmento/energia-critica/","1","Energia Crítica","15","","0","Indexable",""
"https://teksea.net/subcategoria/chaveados-modulares-tps/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/produto/ams1024-modulo-para-monitoracao-e-alarmes/","1","AMS1024 | Módulo para Monitoração e Alarmes","43","","0","Indexable",""
"https://teksea.net/eventos/mostra-bid-brasil/","0","","0","","0","Indexable",""
"https://teksea.net/videos/teksea-telecom-energia-que-conecta-o-mundo/","1","TekSea Telecom – Energia que Conecta o Mundo!","45","","0","Indexable",""
"https://teksea.net/eventos/fiee-feira-internacional-da-industria-eletrica/","0","","0","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/papel-celulose/","1","Papel & Celulose","16","","0","Indexable",""
"https://teksea.net/produto/fire-system/","1","Fire System","11","","0","Indexable",""
"https://teksea.net/mercados-que-atendemos/naval-portos/","1","Naval & Portos","14","","0","Indexable",""
"https://teksea.net/produto/bnwas-bridge-navigational-watch-alarm-system/","1","BNWAS | Bridge Navigational Watch Alarm System","46","","0","Indexable",""
"https://teksea.net/produto/corenet-corebox-g2/","1","CoreNET Corebox-G2","18","","0","Indexable",""
"https://teksea.net/produto/corebox-smart-g1/","1","CoreBox Smart G1","16","","0","Indexable",""
"https://teksea.net/fale-conosco/","1","Fale com a","10","","0","Indexable",""
"https://teksea.net/produto/kral-fluxometro-serie-omp/","1","KRAL | Fluxometro Série OMP","27","","0","Indexable",""
"https://teksea.net/videos/","1","Arquivos: Vídeos","16","","0","Indexable",""
"https://teksea.net/produto/retificador-carregador-chaveado-tps-24/","1","Retificador / Carregador Chaveado TPS 24","40","","0","Indexable",""
"https://teksea.net/videos/tekpower-scr-espanol-retificador-cargador/","1","TEKPOWER SCR (Español) | Retificador Cargador","45","","0","Indexable",""
"https://teksea.net/subcategoria/inversor-cc-ca/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/consolidacao-de-parceria-entre-empresas-enel-e-teksea/","1","Consolidação de parceria entre empresas Enel e Teksea","53","","0","Indexable",""
"https://teksea.net/atividades-no-navio-fsru-bw-magna-sob-um-novo-mundo-pos-virus/","1","Atividades no navio FSRU “BW Magna”, sob um “novo mundo – pós vírus”","68","","0","Indexable",""
"https://teksea.net/novo-navio-petroleiro-equipado-com-sistemas-teksea-rumo-a-fernando-de-noronha/","1","Novo navio petroleiro equipado com sistemas Teksea rumo a Fernando de Noronha","77","","0","Indexable",""
"https://teksea.net/produto/ccm-centro-de-controle-de-motores/","1","CCM | Centro de Controle de Motores","35","","0","Indexable",""
"https://teksea.net/teksea-entrega-sistemas-de-energia-controle-comunicacao-e-automacao-para-navio-de-transporte-de-combustiveis/","1","TEKSEA entrega sistemas de energia, controle, comunicação e automação para navio de transporte de combustíveis.","111","","0","Indexable",""
"https://teksea.net/noticias/page/2/","0","","0","","0","Indexable",""
"https://teksea.net/produto/retificador-carregador-chaveado-portatil-tps125-p/","1","Retificador / Carregador Chaveado Portátil TPS125-P","51","","0","Indexable",""
"https://teksea.net/central-de-documentos/?jsf=jet-engine&meta=pdf_tipo:manual","1","Documentos","10","","0","Non-Indexable","Canonicalised"
"https://teksea.net/central-de-documentos/?jsf=jet-engine&meta=pdf_tipo:catalogo","1","Documentos","10","","0","Non-Indexable","Canonicalised"
"https://teksea.net/2026/04/07/","1","Dia: 7 de abril de 2026","23","","0","Non-Indexable","noindex"
"https://teksea.net/videos/tekmation-thor-monitoramento-inteligente-para-telecomunicacoes/","1","Tekmation THOR | Monitoramento Inteligente para Telecomunicações","64","","0","Indexable",""
"https://teksea.net/produto/tekcharger-swm/","1","Tekcharger SWM","14","","0","Indexable",""
"https://teksea.net/videos/tekpower-tps-retificador-carregador/","1","TEKPOWER TPS | Retificador Carregador","37","","0","Indexable",""
"https://teksea.net/subcategoria/navegacao-e-comunicacao/","1","Linha de Produtos","17","","0","Indexable",""
"https://teksea.net/2026/03/25/","1","Dia: 25 de março de 2026","24","","0","Non-Indexable","noindex"
"https://teksea.net/produto/kral-bombas-z-series/","1","KRAL Bombas | Z Series","22","","0","Indexable",""
"https://teksea.net/produto/vhf-icom-m506/","1","VHF ICOM M506","13","","0","Indexable",""
"https://teksea.net/produto/kral-bombas-serie-l/","1","KRAL Bombas | Série L","21","","0","Indexable",""
"https://teksea.net/produto/retificador-carregador-chaveado-tps-48/","1","Retificador / Carregador Chaveado TPS 48","40","","0","Indexable",""
"https://teksea.net/produto/motor-h-eco/","1","Motor H-ECO","11","","0","Indexable",""
"https://teksea.net/entrega-de-sistemas-de-energia-a-eletrobras-furnas/","1","Entrega de sistemas de energia à Eletrobras Furnas","50","","0","Indexable",""
"https://teksea.net/teksea-obtem-certificacao-iso-450012018-e-fortalece-sua-cultura-de-saude-e-seguranca-no-trabalho/","1","TekSea obtém certificação ISO 45001:2018 e fortalece sua cultura de saúde e segurança no trabalho.","98","","0","Indexable",""
"https://teksea.net/teksea-conquista-certificacao-iso-140012015-e-reforca-seu-compromisso-com-a-sustentabilidade-e-a-gestao-ambiental-responsavel/","1","TekSea conquista certificação ISO 14001:2015 e reforça seu compromisso com a sustentabilidade e a gestão ambiental responsável.","127","","0","Indexable",""
"https://teksea.net/videos/tekpower-scr-retificador-carregador/","1","TEKPOWER SCR | Retificador Carregador","37","","0","Indexable",""
"https://teksea.net/produto/ups-industrial-full-igbt/","1","UPS Industrial Full-IGBT","24","","0","Indexable",""
"https://teksea.net/produto/ups-comercial/","1","UPS Comercial","13","","0","Indexable",""
"https://teksea.net/produto/conversor-estatico-de-frequencia-400hz/","1","Conversor Estático de Frequência 400Hz","38","","0","Indexable",""
"https://teksea.net/produto/inversor-cc-ca-rack-19/","1","Inversor CC/CA Rack 19”","23","","0","Indexable",""
"https://teksea.net/produto/ups-modular/","1","UPS Modular","11","","0","Indexable",""
"https://teksea.net/produto/inversor-cc-ca-industrial/","1","Inversor CC/CA Industrial","25","","0","Indexable",""
"https://teksea.net/produto/kral-bombas-serie-c/","1","KRAL Bombas | Série C","21","","0","Indexable",""
"https://teksea.net/produto/wheelhouse-tekmation-computer-touch-screen/","1","Wheelhouse | Tekmation Computer Touch Screen","44","","0","Indexable",""
"https://teksea.net/central-de-documentos/","1","Documentos","10","","0","Indexable",""
"https://teksea.net/teksea-entrega-1-dos-6-rebocadores-a-svitzer/","1","TEKSEA entrega 1° dos 6 rebocadores a SVITZER","45","","0","Indexable",""
"https://teksea.net/videos/tekpower-bki-sistemas-inversores-cc-ca-com-chave-estatica/","1","TEKPOWER BKI | SISTEMAS INVERSORES CC/CA COM CHAVE ESTÁTICA","59","","0","Indexable",""
"https://teksea.net/2026/02/26/","1","Dia: 26 de fevereiro de 2026","28","","0","Non-Indexable","noindex"
"https://teksea.net/videos/sistema-de-energia-para-telecomunicacoes-tekpower-by-teksea/","1","Sistema de Energia para Telecomunicações | TekPower by TekSea","61","","0","Indexable",""
