"Nome da campanha","Nome do anúncio",Anúncios,Impressões,Alcance,Frequência,"Valor usado (USD)","Tx Interesse Profundo %","Hook Rate (%)","Hold Rate Vídeo (%)","Tipo de resultado","Custo por resultado",Resultados,"CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","Cliques no link","Status de veiculação","Nível de veiculação","Taxa de reproduções de vídeo para cliques no link","Tx Conv. Click","Taxa de reproduções de vídeo para cliques no link","Hold Rate (Taxa de Retenção %)","Início dos relatórios","Encerramento dos relatórios"
,,,49217,16026,3.07107201,1431.95,0.03303737,0.15395087,0.17015939,mixed,,,1.62748644,29.09462178,3.02737844,473,,,0.01768489,0.00028445,0.01768489,0.17015939,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","5. Summer Camp - Video","5. Summer Camp - Video",14390,7992,1.80055055,425.16,0.05281445,0.26469771,0.17448353,"Leads na Meta",21.258,20,1.57748436,29.54551772,3.14933333,135,recently_rejected,ad,0.01008592,0,0.01008592,0.17448353,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","4. Summer Camp - Almaden Valley Expansion — Cópia","4. Summer Camp - Almaden Valley Expansion — Cópia",13724,6303,2.17737585,393.24,0.02725153,0.11483532,0.183172,"Leads na Meta",49.155,8,1.69775576,28.6534538,3.0721875,128,not_delivering,ad,0.024961,0,0.024961,0.183172,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","VIDEO 1: Most summer camps are just expensive babysitting","VIDEO 1: Most summer camps are just expensive babysitting",8606,4288,2.00699627,308.62,0.04252847,0.22902626,0.15153173,"Leads na Meta",51.43666667,6,1.66163142,35.86102719,3.46764045,89,active,ad,0.01107792,0.0001162,0.01107792,0.15153173,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","3.1 Summer Camp - The Anti-Daycare - Copy","3.1 Summer Camp - The Anti-Daycare - Copy",8178,4091,1.99902224,193.58,0.0100269,0.01577403,0,"Leads na Meta",96.79,2,1.41843972,23.67082416,2.36073171,82,not_delivering,ad,1.12328767,0.00134507,1.12328767,0,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","4.1 Summer Camp - Almaden Valley Expansion — Cópia - Copy","4.1 Summer Camp - Almaden Valley Expansion — Cópia - Copy",2503,1648,1.51881068,52.21,0.00799041,0.01638034,,"Leads na Meta",52.21,1,1.63803436,20.85896924,2.6105,20,not_delivering,ad,,0.00039952,,,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","AD 1: Only a few courts left train like a pro","AD 1: Only a few courts left train like a pro",747,565,1.32212389,23.42,0.01204819,0.03078983,0,"Leads na Meta",23.42,1,2.94511379,31.35207497,2.60222222,9,recently_rejected,ad,0.75,0.00133869,0.75,0,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","1. Summer Camp_Academic & Mental Edge","1. Summer Camp_Academic & Mental Edge",613,465,1.31827957,18.94,0.00652529,0.01305057,1,,,,1.14192496,30.89722675,6.31333333,3,recently_rejected,ad,0.27272727,0,0.27272727,1,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","AD 3 - Don't let your child's UTR stall","AD 3 - Don't let your child's UTR stall",228,192,1.1875,7.58,0.00438596,0.02192982,,,,,2.19298246,33.24561404,7.58,1,recently_rejected,ad,,0,,,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","AD 2 - The 'SOLD OUT' Sign is Going Up Any Minute","AD 2 - The 'SOLD OUT' Sign is Going Up Any Minute",111,85,1.30588235,5.57,0.05405405,0.06306306,,,,,6.30630631,50.18018018,0.92833333,6,active,ad,,0,,,2026-06-01,2026-06-29
"[V4] [AQ] [FORM] Summer","VIDEO 2: Most summer camps are just expensive babysitting — Cópia","VIDEO 2: Most summer camps are just expensive babysitting — Cópia",117,96,1.21875,3.63,0.03418803,0.09401709,0.36363636,,,,0,31.02564103,,,active,ad,0,0,0,0.36363636,2026-06-01,2026-06-29
