Ad group report
"June 1, 2026 - June 30, 2026"
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Target CPM,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,CTR,Conv. rate,Conversions,Cost / conv.
Enabled,[Seasonal-02-26-Q1] Spring Startup & Audit,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,137,4,2.92%,USD,12.47,49.86,2.92%,50.00%,2.00,24.93
Enabled,[Emergency-02-26-Q1] Precision Repair,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,"1,186",58,4.89%,USD,11.09,643.13,4.89%,5.17%,3.00,214.38
Enabled,[V4] [New] Irrigation_System_Installation,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,18,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Enabled,[02-26-Q1] Smart_Irrigation_Efficiency,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,3,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Enabled,[V4] [SIAG] B2B,V4 - SEARCH - SERVICES,Eligible,unknown,USD, --, --,Standard,2,0,0.00%,USD,0,0.00,0.00%,0.00%,0.00,0.00
Total: Ad groups,,,,,,,,,"1,346",62,4.61%,USD,11.18,692.99,4.61%,8.06%,5.00,138.60
Total: Account,,,,,,,,,"18,142","1,385",7.63%,USD,3.99,5530.75,6.83%,6.35%,88.00,62.85
Total: Search,,,,,,,,,"1,671",79,4.73%,USD,12.15,959.49,4.73%,6.33%,5.00,191.90
Total: Video,,,,,,,,,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
Total: Performance Max,,,,,,,,,"6,357",381,5.99%,USD,4.78,1820.60,3.70%,3.41%,13.00,140.07
Total: Display,,,,,,,,,0,0, --,USD,0,0.00, --,0.00%,0.00,0.00
