Location report
"June 1, 2026 - June 30, 2026"
Location,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
"85201, Arizona, United States",V4 - SEARCH - SERVICES,USD,259.53,43,1,2.33%,11.16,11.16,0.00%,0.00,0.00
"85282, Arizona, United States",V4 - SEARCH - SERVICES,USD,666.44,109,4,3.67%,18.16,72.64,25.00%,1.00,72.64
"85251, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,271.92,367,29,7.90%,3.44,99.79,0.00%,0.00,0.00
"85266, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,692.56,131,9,6.87%,10.08,90.73,0.00%,0.00,0.00
"85255, Arizona, United States",V4 - SEARCH - SERVICES,USD,446.14,109,5,4.59%,9.73,48.63,0.00%,0.00,0.00
"85281, Arizona, United States",V4 - SEARCH - SERVICES,USD,719.69,76,3,3.95%,18.23,54.70,33.33%,1.00,54.70
"85085, Arizona, United States",V4 - SEARCH - SERVICES,USD,497.00,55,3,5.45%,9.11,27.34,0.00%,0.00,0.00
"85257, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,257.83,189,20,10.58%,2.44,48.73,0.00%,0.00,0.00
"85034, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,204.09,549,25,4.55%,4.48,112.04,3.99%,1.00,112.29
"85022, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,112.93,293,24,8.19%,1.38,33.09,0.00%,0.00,0.00
"85028, Arizona, United States",V4 - SEARCH - SERVICES,USD,706.35,34,3,8.82%,8.01,24.02,0.00%,0.00,0.00
"85028, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,371.07,87,3,3.45%,10.76,32.28,0.00%,0.00,0.00
"85254, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,236.33,218,9,4.13%,5.72,51.52,0.00%,0.00,0.00
"85016, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,421.67,473,30,6.34%,6.65,199.45,3.33%,1.00,199.45
"85248, Arizona, United States",V4 - SEARCH - SERVICES,USD,415.47,77,4,5.19%,8.00,31.99,0.00%,0.00,0.00
"85249, Arizona, United States",V4 - SEARCH - SERVICES,USD,152.72,58,2,3.45%,4.43,8.86,0.00%,0.00,0.00
"85003, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,43.41,141,8,5.67%,0.77,6.12,0.00%,0.00,0.00
"85262, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,127.52,87,4,4.60%,2.77,11.09,0.00%,0.00,0.00
"85013, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,50.35,106,3,2.83%,1.78,5.34,0.00%,0.00,0.00
"85226, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,45,0,0.00%,0,0.00,0.00%,0.00,0.00
"85268, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,352.96,162,10,6.17%,5.72,57.18,0.00%,0.00,0.00
"85254, Arizona, United States",V4 - SEARCH - SERVICES,USD,393.28,83,3,3.61%,10.88,32.64,33.33%,1.00,32.64
"85260, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,540.06,325,19,5.85%,9.24,175.52,5.26%,1.00,175.52
"85018, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,118.79,141,6,4.26%,2.79,16.75,0.00%,0.00,0.00
"85007, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,427.96,261,19,7.28%,5.88,111.70,5.26%,1.00,111.70
"85085, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,419.66,94,8,8.51%,4.93,39.45,12.50%,1.00,39.45
"85015, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,57.38,264,17,6.44%,0.89,15.15,0.00%,0.00,0.00
"85012, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,72.31,77,2,2.60%,2.78,5.57,0.00%,0.00,0.00
"85024, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,939.51,163,5,3.07%,30.63,153.14,60.00%,3.00,51.05
"85255, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,327.75,250,11,4.40%,7.45,81.94,0.00%,0.00,0.00
"85013, Arizona, United States",V4 - SEARCH - SERVICES,USD,0.00,42,0,0.00%,0,0.00,0.00%,0.00,0.00
"85268, Arizona, United States",V4 - SEARCH - SERVICES,USD,533.71,54,4,7.41%,7.21,28.82,25.00%,1.00,28.82
"85250, Arizona, United States",[V4]_[MO]_[PMAX]_[GOO]_[GO]_core,USD,606.94,46,4,8.70%,6.98,27.92,25.00%,1.00,27.92
"85260, Arizona, United States",V4 - SEARCH - SERVICES,USD,1015.30,105,5,4.76%,21.32,106.61,0.00%,0.00,0.00
