Search keyword report
"June 1, 2026 - June 30, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Final URL,Impr.,Interactions,CTR,Currency code,Avg. cost,Cost,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Landing page exp.,Exp. CTR,Conv. rate,Conversions,Cost / conv.
Paused,"""irrigation system near me""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused; low quality, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,4,,3,2,66.67%,USD,11.26,22.52,22.22%,22.22%,22.22%,55.56%,Average,Below average,0.00%,0.00,0.00
Paused,"""emergency sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%,Above average,Below average,0.00%,0.00,0.00
Enabled,irrigation repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,387,22,5.68%,USD,9.23,203.13,24.24%,15.63%,< 10%,44.90%,Average,Below average,0.00%,0.00,0.00
Enabled,"""sprinkler repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,2,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,56.52%,Average,Below average,0.00%,0.00,0.00
Enabled,"""sprinkler system repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,10,1,10.00%,USD,12.03,12.03,21.21%,12.12%,< 10%,57.58%,Average,Below average,0.00%,0.00,0.00
Paused,"""lawn sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,12,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,60.00%, --, --,0.00%,0.00,0.00
Enabled,"""irrigation repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,21,2,9.52%,USD,37.04,74.08,19.23%,14.10%,10.26%,32.05%,Average,Below average,0.00%,0.00,0.00
Enabled,"""drip irrigation system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""same day sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,19,1,5.26%,USD,5.31,5.31,29.55%,13.64%,11.36%,36.36%,Average,Below average,100.00%,1.00,5.31
Enabled,"""lawn sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,2,0,0.00%,USD,0,0.00,66.67%,33.33%,< 10%,33.33%,Average,Below average,0.00%,0.00,0.00
Paused,installation of sprinkler irrigation system near me,Broad match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,2,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,> 90%, --, --,0.00%,0.00,0.00
Enabled,"""scottsdale sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,2,0,0.00%,USD,0,0.00,100.00%,100.00%,< 10%,0.00%,Average,Below average,0.00%,0.00,0.00
Paused,"""installation of sprinkler irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
