"Ad report (May 31, 2026 - June 29, 2026)"
Request Id: 3df35a63-6534-3a14-6c04-4d3de19d1ce8

Status,Ad,Campaign,Ad group,AdStrength,Delivery,Clicks,Impr.,CTR,Avg. CPC,Spend,Conv.,View through conv.,Labels,Automated ad,Top impr. rate,Abs. top impr. rate,AdStrengthActionItems,Text,Display Url,Destination Url,Final Url,Mobile Final Url,App Platform,App Id,Ad type,Tracking Template,Custom Parameter,Final Url Suffix,Text Part 2,Title Part 1,Title Part 2,Title Part 3,Path 1,Path 2,Business Name,Headline,Long Headline,Call To Action,Landscape Image Media Id,Landscape Logo Media Id,Square Image Media Id,Square Logo Media Id,Images,Impression Tracking Urls,Videos,Video Duration,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long Headline 1,Long Headline 2,Long Headline 3,Long Headline 4,Long Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Headline 1 Position,Headline 2 Position,Headline 3 Position,Headline 4 Position,Headline 5 Position,Headline 6 Position,Headline 7 Position,Headline 8 Position,Headline 9 Position,Headline 10 Position,Headline 11 Position,Headline 12 Position,Headline 13 Position,Headline 14 Position,Headline 15 Position,Description 1 Position,Description 2 Position,Description 3 Position,Description 4 Position
Enabled,,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Good,Campaign out of budget,35,4041,0.87%,1.81,63.21,0,0,,False,3.01%,2.18%,AddMoreDescriptions; AddMoreHeadlines; IncludeKeywordsOrKeywordInsertionDescriptions; UnpinHeadlines,,insights.premiumcleaningnj.com,,https://insights.premiumcleaningnj.com/,https://insights.premiumcleaningnj.com/,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Restaurant Cleaning NJ & NY,Night Shift Kitchen Crews (26),Health Code Ready Always (25),Spotless Before Guests Come,Commercial Kitchen Experts,Free Kitchen Assessment,10+ Years Restaurant Care,,,,,,,,,-,-,-,-,-,"Night shift restaurant cleaning — floors, kitchens, restrooms spotless before you open.","Health inspection ready, every single day. Trained crews for NJ & NY food establishments.",Stop losing sleep over kitchen cleanliness. We handle the mess so you focus on cooking.,,-,1,-,-,-,-,-,-,,,,,,,,,-,-,-,
Enabled,,[V4] [BING] [AQ] Premium-Q1-2026,Hotel Staffing & Boutiques,Excellent,Eligible,0,0,0%,0,0,0,0,,False,0%,0%,-,,lp.premiumcleaningnj.com,,https://lp.premiumcleaningnj.com,,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Premium Cleaning Services,Boutique Hotel Cleaning Pros,Hotel Cleaning Outsourcing,Stop Housekeeping Turnover,Reliable Hotel Cleaning Staff,5-Star Guest Experiences,Fully Trained Cleaning Crew,App-Verified Room Inspections,Solve Your Staffing Shortage,Professional Hospitality Staff,Dedicated Housekeeping Teams,Elevate Your Hotel Standards,Total Compliance Guaranteed,Partner With Premium Today,Get A Free Staffing Quote,-,-,-,-,-,Beat housekeeping turnover. We provide fully trained and reliable hotel staff.,Expert boutique hotel cleaning. Deliver 5-star experiences with dedicated teams.,Outsource your housekeeping headaches. Get app-verified room inspections every day.,Solve staffing shortages in NJ & CT. Partner with Premium for reliable hospitality.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,[V4] [BING] [AQ] Premium-Q1-2026,Restaurants | Night Cleaning,Excellent,Eligible,0,0,0%,0,0,0,0,,False,0%,0%,-,,lp.premiumcleaningnj.com,,https://lp.premiumcleaningnj.com,,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Premium Cleaning Services,Top NYC Restaurant Cleaners,Nightly Commercial Cleaning,Pass Health Inspections Fast,App-Verified Daily Reports,Reliable Night Cleaning Crew,Total Visibility & Compliance,Expert Restaurant Janitorial,Keep Your Kitchen Spotless,No More Cleaning Headaches,Fully Licensed & Insured,Guaranteed Hygiene Standards,Book A Free Hygiene Audit,Get A Commercial Custom Quote,Stress-Free Night Cleaning,-,-,-,-,-,Stop stressing. We provide app-verified night cleaning reports for total control.,Expert NYC & NJ restaurant cleaning. Pass every health inspection with our crew.,We guarantee compliance. Get reliable night crews and total visibility every day.,Tired of unreliable cleaners? Partner with Premium for fully managed janitorial.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Good,Campaign out of budget,20,2876,0.7%,1.52,30.36,0,0,,False,1.68%,1.47%,IncludeKeywordsOrKeywordInsertionDescriptions; AddMoreHeadlines; AddLongerHeadlines; IncludeKeywordsOrKeywordInsertionHeadlines,,insights.premiumcleaningnj.com,,https://insights.premiumcleaningnj.com/,,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Hotel Cleaning NJ & NYC,Guest Room Deep Clean Pros,Back of House Experts,Trusted by NJ Hotels,Night Ops Cleaning Teams,Free Hotel Assessment,24/7 Emergency Crews,,,,,,,,,-,-,-,-,-,"Professional hotel cleaning — guest rooms, public areas, back of house. NJ & NY covered.",Your guests notice cleanliness first. Dedicated teams trained to hospitality standards.,Count on us for reliable facility maintenance that keeps your space spotless.,Trusted by Element by Westin & The Briad Group. Get your custom hotel cleaning quote now.,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-
Enabled,,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Excellent,Campaign out of budget,263,41282,0.64%,2.22,584.76,0,0,,False,2.94%,2.45%,-,,insights.premiumcleaningnj.com,,https://insights.premiumcleaningnj.com/,https://insights.premiumcleaningnj.com/,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Commercial Cleaning NJ & NY,Premium Janitorial Services,Trusted by Madison Ave Shops,Licensed & Insured Team,Free Facility Assessment,10+ Years of Excellence (24),Night & Weekend Crews Ready,Custom Cleaning Plans NJ,Same Crew Every Visit,,,,,,,-,-,-,-,-,NJ & NY commercial cleaning. Background-checked crews. Get your free facility audit now.,"Offices, retail, medical spaces — one trusted partner. Licensed, insured, 24/7 support.","No rotating crews, no missed shifts. Dedicated teams that know your building by heart.",Trusted by luxury retailers on Madison Ave. Request your custom cleaning quote today.,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-
Enabled,,[V4] [BING] [AQ] Premium-Q1-2026,Post-Construction Cleaning,Excellent,Eligible,0,1,0%,0,0,0,0,,False,100%,100%,-,,lp.premiumcleaningnj.com,,https://lp.premiumcleaningnj.com,,,,ResponsiveSearch,,,,,,,,,,,,,,,,,,[null],,null,,Premium Cleaning Services,Tri-State Site Cleaners,Post-Construction Cleanup,Get Your Site Handover-Ready,Pass Your Final Inspections,Fast Construction Cleaning,Reliable Cleanup Crews,Rough & Final Cleaning Pros,Dust-Free Commercial Spaces,Expert Post-Build Cleaning,Dedicated On-Site Supervisors,Keep Projects On Schedule,OSHA Compliant Cleaning Team,Get A Free Cleanup Quote,Book Your Construction Clean,-,-,-,-,-,Need your site handover-ready? We do rough and final commercial cleaning fast.,Keep projects on schedule. Our expert crews ensure you pass final inspections.,"From dust removal to final polish, we deliver reliable post-construction cleanup.",Don't let a messy site delay handover. Book our fully insured cleanup crews now.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enabled,,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Excellent,Campaign out of budget,150,39163,0.38%,1.45,217.32,0,0,,False,0.27%,0.2%,-,,insights.premiumcleaningnj.com,,https://insights.premiumcleaningnj.com/office-cleaning,https://insights.premiumcleaningnj.com/office-cleaning,,,ResponsiveSearch,,,,,,,,office-cleaning,,,,,,,,,,[null],,null,,Office Cleaning NJ & NYC,Professional Office Cleaning,Green Cleaning Available,Daily & Nightly Service,No Strangers In Your Office,Background-Checked Crews,Free Office Assessment,Dedicated Account Manager,QA Inspected Every Visit,Call (973) 204-2310 Now,,,,,,-,-,-,-,-,"Professional office cleaning in NJ & NYC. Same crew, every visit. Free assessment today.","Your office cleaned by trained, uniformed teams. QA checklists, green products available.",Stop worrying about missed cleanings. Dedicated teams with backup staff always on call.,Trusted by NJ & NY businesses for 10+ years. Get your custom office cleaning quote now.,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-
Search total,-,-,-,-,-,132,3004,4.39%,3.07,405.87,0,0,-,-,70.2%,57.49%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Audience total,-,-,-,-,-,336,84359,0.4%,1.46,489.78,0,0,-,-,0%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deleted items total,-,-,-,-,-,0,0,0%,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
