"AdGroup report (May 31, 2026 - June 29, 2026)"
Request Id: 9d666d2e-965c-8321-815c-f92319b5c831

Status,Ad group,Campaign,Search Bid,Cpv Bid,Cpm Bid,Percent Cpc Bid,Commission Rate,Ad group Type,Delivery,Bid Strategy Name,Display Bid Strategy Type,Labels,Qual. score,Medium,Ad group ID,Start Date,End Date,Language,Tracking Template,Custom Parameter,Final Url Suffix,Conv.,View through conv.,Top impr. rate,Abs. top impr. rate
CampaignBudgetPaused,Ad Group 4 - Restaurant Cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,auto,,,,,Standard,Campaign out of budget,,MaxConversions,,6,Search,[1224857400672784],5/5/2026,,,,,,0,0,3.01%,2.18%
Enabled,Hotel Staffing & Boutiques,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1236951935698411],3/4/2026,,,,,,0,0,0%,0%
Enabled,Restaurants | Night Cleaning,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1227056330271538],3/4/2026,,,,,,0,0,0%,0%
CampaignBudgetPaused,Ad Group 5 - Hotel Cleaning,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,auto,,,,,Standard,Campaign out of budget,,MaxConversions,,6,Search,[1227056424103394],5/5/2026,,,,,,0,0,1.68%,1.47%
CampaignBudgetPaused,Ad Group 1 - Commercial Cleaning Services (Core),[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,auto,,,,,Standard,Campaign out of budget,,MaxConversions,,5,Search,[1229255447817876],5/5/2026,,,,,,0,0,2.94%,2.45%
Enabled,Post-Construction Cleaning,[V4] [BING] [AQ] Premium-Q1-2026,0.05,,,,,Standard,Eligible,,EnhancedCpc,,0,Search,[1233653399727000],3/4/2026,,,,,,0,0,100%,100%
CampaignBudgetPaused,Ad Group 2 - Office Cleaning Services,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,auto,,,,,Standard,Campaign out of budget,,MaxConversions,,5,Search,[1234753005526169],5/5/2026,,,,,,0,0,0.27%,0.2%
Search total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,70.2%,57.49%
Audience total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0%,0%
Deleted items total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-
Overall total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1.69%,1.39%
