"AssetWithBIData report (May 31, 2026 - June 29, 2026)"
Request Id: 9fd5a1f2-b6a4-7615-f95e-f7737d6202fc

IsBlocked,Asset Text,Asset Association Type,UsedBy Ad Count,UsedBy Asset Group Count,Pinned Count,Asset Source,Impr.,Clicks,CTR,Spend,Conv.,Revenue
False,Fast Construction Cleaning,Headlines,1,0,0,AdvertiserProvided,1,0,0%,0,0,0
False,Licensed & Insured Team,Headlines,1,0,0,AdvertiserProvided,16096,75,0.47%,127.77,0,0
False,QA Inspected Every Visit,Headlines,1,0,0,AdvertiserProvided,13769,44,0.32%,53.82,0,0
False,Spotless Before Guests Come,Headlines,1,0,0,AdvertiserProvided,2613,8,0.31%,16.56,0,0
False,"Offices, retail, medical spaces — one trusted partner. Licensed, insured, 24/7 support.",Descriptions,1,0,0,AdvertiserProvided,15833,136,0.86%,287.93,0,0
False,Free Office Assessment,Headlines,1,0,0,AdvertiserProvided,16606,64,0.39%,82.09,0,0
False,Night Ops Cleaning Teams,Headlines,1,0,0,AdvertiserProvided,1455,9,0.62%,11.32,0,0
False,Post-Construction Cleanup,Headlines,1,0,0,AdvertiserProvided,1,0,0%,0,0,0
False,Back of House Experts,Headlines,1,0,0,AdvertiserProvided,1225,7,0.57%,8.58,0,0
False,Same Crew Every Visit,Headlines,1,0,0,AdvertiserProvided,1742,18,1.03%,48.09,0,0
False,Premium Janitorial Services,Headlines,1,0,0,AdvertiserProvided,1207,21,1.74%,79.97,0,0
False,Commercial Kitchen Experts,Headlines,1,0,0,AdvertiserProvided,1924,15,0.78%,27.05,0,0
False,"No rotating crews, no missed shifts. Dedicated teams that know your building by heart.",Descriptions,1,0,0,AdvertiserProvided,21567,118,0.55%,255.32,0,0
False,"Your office cleaned by trained, uniformed teams. QA checklists, green products available.",Descriptions,1,0,0,AdvertiserProvided,12292,39,0.32%,47.85,0,0
False,Night Shift Kitchen Crews (26),Headlines,1,0,0,AdvertiserProvided,1666,8,0.48%,14.46,0,0
False,Office Cleaning NJ & NYC,Headlines,1,0,0,AdvertiserProvided,24778,101,0.41%,146.08,0,0
False,Dedicated Account Manager,Headlines,1,0,0,AdvertiserProvided,8239,34,0.41%,39.59,0,0
False,Stop losing sleep over kitchen cleanliness. We handle the mess so you focus on cooking.,Descriptions,1,0,0,AdvertiserProvided,1755,25,1.42%,36.11,0,0
False,Custom Cleaning Plans NJ,Headlines,1,0,0,AdvertiserProvided,19746,79,0.4%,160.92,0,0
False,Trusted by NJ & NY businesses for 10+ years. Get your custom office cleaning quote now.,Descriptions,1,0,0,AdvertiserProvided,25624,94,0.37%,119.14,0,0
False,10+ Years Restaurant Care,Headlines,1,0,0,AdvertiserProvided,895,9,1.01%,12.86,0,0
False,"Health inspection ready, every single day. Trained crews for NJ & NY food establishments.",Descriptions,1,0,0,AdvertiserProvided,2388,24,1.01%,47.35,0,0
False,NJ & NY commercial cleaning. Background-checked crews. Get your free facility audit now.,Descriptions,1,0,0,AdvertiserProvided,29227,217,0.74%,457.28,0,0
False,Free Hotel Assessment,Headlines,1,0,0,AdvertiserProvided,1518,12,0.79%,19.33,0,0
False,Commercial Cleaning NJ & NY,Headlines,1,0,0,AdvertiserProvided,33522,217,0.65%,473.2,0,0
False,"Professional office cleaning in NJ & NYC. Same crew, every visit. Free assessment today.",Descriptions,1,0,0,AdvertiserProvided,27233,107,0.39%,142.15,0,0
False,10+ Years of Excellence (24),Headlines,1,0,0,AdvertiserProvided,1962,32,1.63%,64.03,0,0
False,"Night shift restaurant cleaning — floors, kitchens, restrooms spotless before you open.",Descriptions,1,0,0,AdvertiserProvided,1873,17,0.91%,32.02,0,0
False,Guest Room Deep Clean Pros,Headlines,1,0,0,AdvertiserProvided,527,2,0.38%,4.07,0,0
False,Count on us for reliable facility maintenance that keeps your space spotless.,Descriptions,1,0,0,AdvertiserProvided,1360,10,0.74%,12.69,0,0
False,"From dust removal to final polish, we deliver reliable post-construction cleanup.",Descriptions,1,0,0,AdvertiserProvided,1,0,0%,0,0,0
False,No Strangers In Your Office,Headlines,1,0,0,AdvertiserProvided,3548,6,0.17%,11.5,0,0
False,Background-Checked Crews,Headlines,1,0,0,AdvertiserProvided,5895,19,0.32%,20.88,0,0
False,Keep projects on schedule. Our expert crews ensure you pass final inspections.,Descriptions,1,0,0,AdvertiserProvided,1,0,0%,0,0,0
False,Free Facility Assessment,Headlines,1,0,0,AdvertiserProvided,16412,99,0.6%,242.3,0,0
False,Free Kitchen Assessment,Headlines,1,0,0,AdvertiserProvided,428,5,1.17%,8.59,0,0
False,24/7 Emergency Crews,Headlines,1,0,0,AdvertiserProvided,467,2,0.43%,1.17,0,0
False,"Professional hotel cleaning — guest rooms, public areas, back of house. NJ & NY covered.",Descriptions,1,0,0,AdvertiserProvided,860,7,0.81%,16.13,0,0
False,Trusted by Element by Westin & The Briad Group. Get your custom hotel cleaning quote now.,Descriptions,1,0,0,AdvertiserProvided,1039,9,0.87%,10.55,0,0
False,Night & Weekend Crews Ready,Headlines,1,0,0,AdvertiserProvided,2478,11,0.44%,21.13,0,0
False,Trusted by luxury retailers on Madison Ave. Request your custom cleaning quote today.,Descriptions,1,0,0,AdvertiserProvided,1996,28,1.4%,103.34,0,0
False,Your guests notice cleanliness first. Dedicated teams trained to hospitality standards.,Descriptions,1,0,0,AdvertiserProvided,1106,10,0.9%,13.75,0,0
False,Daily & Nightly Service,Headlines,1,0,0,AdvertiserProvided,59,2,3.39%,7.72,0,0
False,Professional Office Cleaning,Headlines,1,0,0,AdvertiserProvided,20136,81,0.4%,114.83,0,0
False,Restaurant Cleaning NJ & NY,Headlines,1,0,1,AdvertiserProvided,4041,33,0.82%,57.74,0,0
False,Trusted by Madison Ave Shops,Headlines,1,0,0,AdvertiserProvided,28264,125,0.44%,194.1,0,0
False,Stop worrying about missed cleanings. Dedicated teams with backup staff always on call.,Descriptions,1,0,0,AdvertiserProvided,8991,38,0.42%,72.68,0,0
False,Trusted by NJ Hotels,Headlines,1,0,0,AdvertiserProvided,1431,9,0.63%,14.77,0,0
False,Green Cleaning Available,Headlines,1,0,0,AdvertiserProvided,24316,86,0.35%,127.84,0,0
False,Health Code Ready Always (25),Headlines,1,0,0,AdvertiserProvided,335,0,0%,0,0,0
False,Hotel Cleaning NJ & NYC,Headlines,1,0,0,AdvertiserProvided,2051,15,0.73%,25.77,0,0
