"AudienceAssociation report (May 31, 2026 - June 29, 2026)"
Request Id: 3c029e4a-dd08-c2e5-1c52-df8a69570f4d

Association Status,Audience,Campaign,Ad group,Level,Category,Delivery,Bid multipliers,Targeting setting,Clicks,Impr.,Conv.,Abs. top impr. rate,Top impr. rate
Active,Customer_Match_Upload_FM_Hotel,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Ad group,CustomerList,Campaign out of budget,15,BidOnly,0,0,0,-,-
Active,Customer_Match_Upload_FM_Hotel,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,CustomerList,Campaign out of budget,15,BidOnly,0,0,0,-,-
Active,Corporate - FM,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,CustomerList,Campaign out of budget,15,BidOnly,0,0,0,-,-
Active,/Job Title/Operations Specialist,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,InMarket,Campaign out of budget,15,BidOnly,0,41,0,0%,0%
Active,/Job Title/Facilities Manager,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,Ad group,InMarket,Campaign out of budget,15,BidOnly,0,1,0,0%,0%
Search total,-,-,-,-,-,-,-,-,0,1,0,0%,0%
Audience total,-,-,-,-,-,-,-,-,0,41,0,0%,0%
Deleted items total,-,-,-,-,-,-,-,-,-,-,-,-,-
Predictive targeting total,-,-,-,-,-,-,-,-,0,0,0,0%,0%
Overall total,-,-,-,-,-,-,-,-,0,42,0,-,-
