"Targeted location report (May 31, 2026 - June 29, 2026)"
Request Id: d365bccc-a2d4-cc20-e1ad-40b98f39c0cc

Location,Campaign,Bid Adjustment,Clicks,Impr.,CTR,Avg. CPC,Top impr. rate,Abs. top impr. rate,Spend
"07030, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07042, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,1,0%,0,100%,100%,0
"07083, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07094, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07102, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07201, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07202, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07206, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"07302, New Jersey, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10012, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10013, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"10036, New York, United States (zip code)",[V4] [BING] [AQ] Premium-Q1-2026,0%,0,0,0%,0,0%,0%,0
"Jersey City, New Jersey, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,17,3830,0.44%,2.75,1.91%,1.48%,46.76
"New York, New York, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,293,47338,0.62%,2.16,2.7%,2.23%,633.05
"Newark, New Jersey, United States (city)",[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,0%,158,36194,0.44%,1.37,0.37%,0.29%,215.84
Total - other locations,-,-,0,0,0%,0,0%,0%,0
Total,-,-,468,87363,0.54%,1.91,1.69%,1.39%,895.65
